searchSteps,timeToFinishWeight,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
1,0.2,original,1,true,1.00,11643,340,11536,332,1137176,4235
1,0.2,original,2,true,1.00,8928,276,8877,258,854603,4091
1,0.2,original,3,false,0.18,1152,47,1141,47,160473,1032
1,0.2,original,4,false,0.95,220282,6660,220122,6660,33312615,3939
1,0.2,original,5,true,1.00,11818,374,11784,356,1643167,2211
1,0.2,original,6,false,0.18,1052,46,1052,46,176251,1074
1,0.2,original,7,true,1.00,11096,348,11089,334,1686562,1687
1,0.2,original,8,false,0.64,6496,209,6496,209,970644,2121
1,0.2,original,9,true,1.00,10703,331,10643,318,1202931,2934
1,0.2,original,10,false,0.53,3612,121,3612,121,379639,932
1,0.2,original,11,true,1.00,10045,319,10044,305,1082721,1687
1,0.2,original,12,true,1.00,13124,410,13111,396,1400113,1916
1,0.2,original,13,false,0.17,1260,48,1260,48,149769,837
1,0.2,original,14,true,1.00,9202,299,9164,277,968890,2408
1,0.2,original,15,false,0.60,12278,380,12230,380,1219806,1754
1,0.2,krys,1,false,0.38,32137,999,32136,999,3783610,952
1,0.2,krys,2,false,0.79,32699,999,32682,999,3765224,3118
1,0.2,krys,3,false,0.70,32440,999,32436,999,3645226,3111
1,0.2,krys,4,false,0.66,6198,199,6198,199,657138,2802
1,0.2,krys,5,false,0.45,3640,121,3626,121,398400,1957
1,0.2,krys,6,false,0.59,32190,999,32146,999,3826132,2768
1,0.2,krys,7,false,0.62,5598,180,5595,180,355368,1301
1,0.2,krys,8,false,0.22,1773,65,1773,65,106476,1405
1,0.2,krys,9,false,0.76,6743,219,6743,219,741077,2842
1,0.2,krys,10,false,0.85,7822,252,7821,252,878994,2619
1,0.2,krys,11,true,1.00,9858,312,9858,299,1037798,3305
1,0.2,krys,12,false,0.48,18571,999,18558,999,2192929,1693
1,0.2,krys,13,false,0.56,4155,140,4135,140,423144,813
1,0.2,krys,14,false,0.65,4944,163,4944,163,549923,1752
1,0.2,krys,15,false,0.80,7947,251,7947,251,931126,3424
1,0.2,patternCount,1,false,0.94,9589,304,9589,304,1133227,3530
1,0.2,patternCount,2,false,0.35,3576,119,3574,119,395221,1181
1,0.2,patternCount,3,false,0.32,3337,117,3337,117,379006,2553
1,0.2,patternCount,4,true,1.00,10596,336,10595,321,1207753,2945
1,0.2,patternCount,5,true,1.00,9867,312,9867,299,1119854,2260
1,0.2,patternCount,6,true,1.00,9501,304,9501,288,1087045,1001
1,0.2,patternCount,7,true,1.00,10608,338,10608,324,1210560,2833
1,0.2,patternCount,8,true,1.00,10126,323,10126,307,1147587,2437
1,0.2,patternCount,9,true,1.00,10036,314,10034,302,1087839,2273
1,0.2,patternCount,10,true,1.00,10294,328,10293,312,1136618,3196
1,0.2,patternCount,11,false,0.78,8505,268,8505,268,930732,2912
1,0.2,patternCount,12,true,1.00,10361,328,10361,314,1105702,2112
1,0.2,patternCount,13,true,1.00,10038,316,10038,304,1086204,1778
1,0.2,patternCount,14,true,1.00,10487,340,10486,320,1147362,2456
1,0.2,patternCount,15,true,1.00,10827,340,10827,328,1196721,2425
1,0.4,original,1,true,1.00,10100,319,10100,306,1063846,2190
1,0.4,original,2,true,1.00,7973,265,7973,242,780715,2203
1,0.4,original,3,false,0.53,3629,123,3629,123,400169,806
1,0.4,original,4,false,0.95,219622,6666,219579,6666,22386455,2542
1,0.4,original,5,true,1.00,10326,337,10323,313,1030453,2872
1,0.4,original,6,false,0.41,2837,100,2837,100,306558,892
1,0.4,original,7,true,1.00,11453,360,11453,347,1207806,1180
1,0.4,original,8,false,0.63,6389,205,6389,205,641881,1014
1,0.4,original,9,true,1.00,9773,309,9773,296,959988,1954
1,0.4,original,10,false,0.54,3650,125,3650,125,405098,1614
1,0.4,original,11,true,1.00,10138,325,10138,307,1073412,2727
1,0.4,original,12,true,1.00,13546,429,13545,412,1444629,2269
1,0.4,original,13,false,0.35,2576,92,2576,92,294291,837
1,0.4,original,14,true,1.00,9002,286,9001,273,949565,3143
1,0.4,original,15,true,1.00,20411,635,20411,618,2082590,1908
1,0.4,krys,1,true,1.00,9385,303,9385,286,1000004,1436
1,0.4,krys,2,false,0.79,32535,999,32533,999,3642404,1916
1,0.4,krys,3,false,0.37,3315,120,3315,120,368492,1408
1,0.4,krys,4,false,0.68,6100,198,6100,198,613835,2355
1,0.4,krys,5,false,0.88,6845,223,6844,223,737378,2563
1,0.4,krys,6,false,0.59,32162,999,32161,999,3310408,2420
1,0.4,krys,7,true,1.00,8002,259,8001,243,864776,2315
1,0.4,krys,8,false,0.85,6918,221,6917,221,682331,2056
1,0.4,krys,9,true,1.00,8860,286,8860,269,973734,3143
1,0.4,krys,10,false,0.85,7757,250,7757,250,832882,2854
1,0.4,krys,11,true,1.00,8962,285,8961,272,900098,2635
1,0.4,krys,12,false,0.48,19162,999,19152,999,2175329,2850
1,0.4,krys,13,false,0.56,4398,148,4398,148,429535,2366
1,0.4,krys,14,false,0.65,4946,163,4945,163,530406,1700
1,0.4,krys,15,false,0.80,7492,234,7492,234,843955,2923
1,0.4,patternCount,1,false,0.71,7733,247,7733,247,850451,3189
1,0.4,patternCount,2,true,1.00,10593,338,10591,321,1138584,2367
1,0.4,patternCount,3,false,0.32,2812,113,2811,113,303979,1825
1,0.4,patternCount,4,true,1.00,11223,354,11222,340,1209133,3038
1,0.4,patternCount,5,false,0.54,5402,178,5402,178,582788,1818
