node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,93.33,0.96,1444.53,483.00,1407.73,43.33,50860.67,233.60
0.00,0.50,0.00,0.00,1.00,100.00,1.00,432.33,555.00,411.93,12.93,14650.80,118.20
0.00,0.50,0.00,0.00,10.00,100.00,1.00,15807.73,819.47,15799.07,478.93,450884.67,774.13
0.00,0.50,0.00,0.00,2.00,100.00,1.00,1883.27,630.13,1866.33,56.53,50590.20,230.33
0.00,0.50,0.00,0.00,20.00,100.00,1.00,24230.87,892.13,24226.07,734.80,686002.80,947.07
0.00,0.50,0.00,0.00,3.00,93.33,0.96,6133.13,691.40,6116.87,186.40,153237.80,346.00
0.00,0.50,0.00,0.00,5.00,100.00,1.00,10531.93,752.53,10520.53,319.13,292476.07,559.60
0.00,0.50,0.00,0.00,50.00,100.00,1.00,25269.80,882.07,25266.13,766.53,706730.33,894.00
0.00,0.50,0.00,0.00,7.00,100.00,1.00,14867.07,830.93,14856.53,450.47,394287.33,693.07
0.00,0.50,1.00,0.00,0.00,93.33,0.96,1377.87,490.73,1331.67,41.07,47216.80,304.07
0.00,0.50,1.00,0.00,1.00,93.33,0.96,394.13,489.67,381.47,13.13,14881.33,115.87
0.00,0.50,1.00,0.00,10.00,100.00,1.00,6135.07,652.53,6122.67,185.87,187766.67,659.33
0.00,0.50,1.00,0.00,2.00,93.33,0.96,481.47,518.40,466.20,15.53,14912.20,146.33
0.00,0.50,1.00,0.00,20.00,93.33,0.96,7232.73,603.93,7223.07,219.47,219813.93,711.00
0.00,0.50,1.00,0.00,3.00,100.00,1.00,507.07,537.20,493.93,15.33,16764.80,257.67
0.00,0.50,1.00,0.00,5.00,100.00,1.00,1818.80,584.53,1805.00,54.87,56227.80,367.13
0.00,0.50,1.00,0.00,50.00,93.33,0.97,7569.73,632.33,7558.67,229.60,224899.87,500.53
0.00,0.50,1.00,0.00,7.00,100.00,1.00,4353.13,630.73,4340.47,131.60,130343.27,529.67
0.00,0.50,1.00,1.00,0.00,93.33,0.96,1455.13,497.07,1412.73,43.60,53549.73,258.33
0.00,0.50,1.00,1.00,1.00,93.33,0.96,315.33,519.93,291.13,10.20,10220.87,150.87
0.00,0.50,1.00,1.00,10.00,100.00,1.00,6070.93,642.67,6059.27,183.80,179004.20,674.87
0.00,0.50,1.00,1.00,2.00,93.33,0.96,919.33,535.80,906.40,28.87,32859.73,252.40
0.00,0.50,1.00,1.00,20.00,100.00,1.00,7011.40,649.87,6999.53,212.60,212819.53,619.53
0.00,0.50,1.00,1.00,3.00,100.00,1.00,1621.27,567.87,1608.67,48.93,56011.53,405.13
0.00,0.50,1.00,1.00,5.00,100.00,1.00,2978.60,613.33,2965.73,89.93,93086.87,461.93
0.00,0.50,1.00,1.00,50.00,93.33,0.97,7397.47,621.67,7387.20,224.33,230377.00,510.40
0.00,0.50,1.00,1.00,7.00,100.00,1.00,5373.40,641.73,5360.47,162.53,158954.87,620.47
0.00,0.50,1.00,10.00,0.00,100.00,1.00,5217.53,641.73,5175.20,155.67,155340.60,649.07
0.00,0.50,1.00,10.00,1.00,100.00,1.00,6212.33,649.00,6200.47,188.00,186577.73,711.33
0.00,0.50,1.00,10.00,10.00,93.33,0.96,7399.80,616.40,7389.73,224.33,235952.67,730.87
0.00,0.50,1.00,10.00,2.00,100.00,1.00,6591.33,642.33,6579.80,199.87,200670.73,732.93
0.00,0.50,1.00,10.00,20.00,93.33,0.97,7143.33,617.53,7133.13,216.60,226622.93,518.73
0.00,0.50,1.00,10.00,3.00,100.00,1.00,6747.27,643.93,6734.93,204.47,193674.13,687.20
0.00,0.50,1.00,10.00,5.00,100.00,1.00,7141.27,645.67,7130.00,216.27,216135.40,729.40
0.00,0.50,1.00,10.00,50.00,93.33,0.97,7358.33,626.07,7348.47,222.93,230147.73,519.93
0.00,0.50,1.00,10.00,7.00,100.00,1.00,7413.47,655.27,7401.53,224.60,226127.00,715.20
0.00,0.50,1.00,2.00,0.00,93.33,0.96,1477.00,533.93,1435.07,43.93,50874.60,260.13
0.00,0.50,1.00,2.00,1.00,93.33,0.96,321.47,539.93,308.00,10.73,11276.87,199.40
0.00,0.50,1.00,2.00,10.00,100.00,1.00,6874.47,642.47,6860.87,208.40,205605.87,727.27
0.00,0.50,1.00,2.00,2.00,100.00,1.00,1579.40,561.40,1566.47,47.67,49565.07,361.13
0.00,0.50,1.00,2.00,20.00,100.00,1.00,7447.27,640.80,7436.13,225.93,216812.20,600.20
0.00,0.50,1.00,2.00,3.00,100.00,1.00,2195.07,592.13,2181.40,66.33,70649.53,400.13
0.00,0.50,1.00,2.00,5.00,100.00,1.00,4552.60,619.40,4541.33,137.67,130249.73,524.07
0.00,0.50,1.00,2.00,50.00,93.33,0.97,7679.27,633.67,7668.73,232.73,230451.07,509.60
0.00,0.50,1.00,2.00,7.00,100.00,1.00,5608.47,640.60,5597.20,169.73,171287.67,667.27
0.00,0.50,1.00,20.00,0.00,100.00,1.00,6704.13,647.60,6670.33,201.40,212639.33,738.47
0.00,0.50,1.00,20.00,1.00,100.00,1.00,7327.07,663.40,7316.53,222.20,229669.93,681.73
0.00,0.50,1.00,20.00,10.00,93.33,0.97,7634.47,631.93,7624.60,231.40,238202.60,536.00
0.00,0.50,1.00,20.00,2.00,100.00,1.00,7391.93,660.40,7380.80,224.13,226998.60,635.13
0.00,0.50,1.00,20.00,20.00,93.33,0.97,7375.40,624.40,7365.53,223.67,222087.20,528.00
0.00,0.50,1.00,20.00,3.00,100.00,1.00,7651.47,662.27,7640.60,232.00,231332.73,650.87
0.00,0.50,1.00,20.00,5.00,100.00,1.00,7296.67,643.40,7285.27,221.33,225279.87,610.40
0.00,0.50,1.00,20.00,50.00,93.33,0.97,7340.67,622.53,7330.33,222.60,219944.60,517.73
0.00,0.50,1.00,20.00,7.00,93.33,0.97,7314.60,617.87,7304.20,221.73,230862.33,525.87
0.00,0.50,1.00,3.00,0.00,100.00,1.00,1392.87,555.93,1350.47,40.00,42934.20,216.40
0.00,0.50,1.00,3.00,1.00,93.33,0.96,1218.93,547.73,1205.33,37.73,37618.73,304.80
0.00,0.50,1.00,3.00,10.00,100.00,1.00,7149.40,645.00,7138.27,216.93,204944.33,713.73
0.00,0.50,1.00,3.00,2.00,100.00,1.00,1775.53,585.13,1761.20,53.53,57819.13,384.73
