node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,100.00,1.00,15.23,233.82,8.23,1.01,156.65,38.16
0.00,0.50,0.00,0.00,1.00,99.00,1.00,338.06,272.68,331.15,10.98,11026.82,51.66
0.00,0.50,0.00,0.00,10.00,99.00,0.99,1870.21,335.12,1862.93,56.77,52886.53,398.89
0.00,0.50,0.00,0.00,2.00,99.00,0.99,52.56,303.36,44.54,2.10,1200.69,65.05
0.00,0.50,0.00,0.00,20.00,99.00,0.99,4130.76,342.92,4125.18,125.18,117859.94,733.83
0.00,0.50,0.00,0.00,3.00,99.00,0.99,53.06,323.87,44.71,2.00,1248.34,92.11
0.00,0.50,0.00,0.00,5.00,99.00,0.99,291.38,341.16,283.00,9.04,8126.61,176.32
0.00,0.50,0.00,0.00,50.00,93.00,0.97,8417.38,401.62,8413.50,256.49,228548.74,577.38
0.00,0.50,0.00,0.00,7.00,99.00,0.99,847.92,344.95,839.59,25.82,24112.50,269.67
0.00,0.50,1.00,0.00,0.00,100.00,1.00,16.99,233.63,8.89,1.00,155.92,38.14
0.00,0.50,1.00,0.00,1.00,99.00,1.00,338.18,243.80,331.00,10.98,9596.51,37.49
0.00,0.50,1.00,0.00,10.00,99.00,0.99,252.02,269.52,245.21,8.22,7725.57,142.85
0.00,0.50,1.00,0.00,2.00,99.00,0.99,47.20,257.03,40.45,2.00,1145.53,87.43
0.00,0.50,1.00,0.00,20.00,99.00,0.99,326.86,270.42,320.43,10.50,10329.44,136.82
0.00,0.50,1.00,0.00,3.00,99.00,0.99,48.90,266.45,40.89,1.96,1067.76,122.44
0.00,0.50,1.00,0.00,5.00,99.00,0.99,41.59,270.28,34.49,1.79,933.13,117.13
0.00,0.50,1.00,0.00,50.00,99.00,0.99,328.11,269.93,321.40,10.51,9957.28,134.68
0.00,0.50,1.00,0.00,7.00,99.00,0.99,127.09,270.73,119.51,4.37,3492.51,139.32
0.00,0.50,1.00,1.00,0.00,100.00,1.00,16.87,234.88,8.36,1.00,142.70,33.21
0.00,0.50,1.00,1.00,1.00,99.00,1.00,339.90,265.96,333.05,10.99,10745.92,84.51
0.00,0.50,1.00,1.00,10.00,99.00,0.99,316.00,270.15,308.47,10.11,9277.68,140.67
0.00,0.50,1.00,1.00,2.00,99.00,0.99,31.41,267.89,24.52,1.47,677.18,119.00
0.00,0.50,1.00,1.00,20.00,99.00,0.99,368.06,270.98,361.07,11.74,11043.05,134.08
0.00,0.50,1.00,1.00,3.00,99.00,0.99,42.14,269.06,34.25,1.77,899.82,112.90
0.00,0.50,1.00,1.00,5.00,99.00,0.99,58.02,270.12,50.57,2.28,1397.77,118.93
0.00,0.50,1.00,1.00,50.00,99.00,0.99,326.77,270.42,320.23,10.50,10416.05,138.73
0.00,0.50,1.00,1.00,7.00,99.00,0.99,133.77,269.15,126.49,4.60,3913.77,135.25
0.00,0.50,1.00,10.00,0.00,99.00,0.99,257.49,269.46,249.21,8.28,7227.30,130.48
0.00,0.50,1.00,10.00,1.00,99.00,0.99,266.12,270.00,259.39,8.64,8322.81,144.71
0.00,0.50,1.00,10.00,10.00,99.00,0.99,326.85,269.93,320.06,10.51,10651.05,136.82
0.00,0.50,1.00,10.00,2.00,99.00,0.99,312.06,270.54,305.49,10.03,9603.67,141.00
0.00,0.50,1.00,10.00,20.00,99.00,0.99,326.81,270.42,320.18,10.50,10694.10,136.82
0.00,0.50,1.00,10.00,3.00,99.00,0.99,311.07,270.54,304.69,10.03,10237.85,142.94
0.00,0.50,1.00,10.00,5.00,99.00,0.99,327.20,270.42,320.46,10.49,10285.81,136.82
0.00,0.50,1.00,10.00,50.00,99.00,0.99,327.01,270.42,320.39,10.50,10047.72,132.92
0.00,0.50,1.00,10.00,7.00,99.00,0.99,327.00,270.42,320.13,10.49,10391.06,136.82
0.00,0.50,1.00,2.00,0.00,100.00,1.00,25.85,258.21,14.86,1.05,242.78,83.46
0.00,0.50,1.00,2.00,1.00,100.00,1.00,26.19,271.58,18.52,1.22,484.64,118.33
0.00,0.50,1.00,2.00,10.00,99.00,0.99,316.45,270.09,308.76,10.11,8961.43,131.38
0.00,0.50,1.00,2.00,2.00,99.00,0.99,33.23,269.34,26.30,1.52,714.85,119.13
0.00,0.50,1.00,2.00,20.00,99.00,0.99,328.13,269.93,321.40,10.51,9612.29,127.76
0.00,0.50,1.00,2.00,3.00,99.00,0.99,39.96,270.31,33.30,1.76,972.11,126.57
0.00,0.50,1.00,2.00,5.00,99.00,0.99,137.01,270.55,129.86,4.70,3863.57,130.73
0.00,0.50,1.00,2.00,50.00,99.00,0.99,327.31,269.86,320.19,10.50,10148.12,136.82
0.00,0.50,1.00,2.00,7.00,99.00,0.99,202.09,269.58,194.97,6.67,6013.43,151.27
0.00,0.50,1.00,20.00,0.00,99.00,0.99,330.29,269.18,321.90,10.54,9669.54,128.73
0.00,0.50,1.00,20.00,1.00,99.00,0.99,326.81,270.42,320.01,10.49,9812.52,136.82
0.00,0.50,1.00,20.00,10.00,99.00,0.99,326.69,270.42,320.23,10.50,10471.51,138.73
0.00,0.50,1.00,20.00,2.00,99.00,0.99,326.23,270.35,319.87,10.48,10303.81,136.82
0.00,0.50,1.00,20.00,20.00,99.00,0.99,326.56,270.35,320.18,10.49,10165.24,136.82
0.00,0.50,1.00,20.00,3.00,99.00,0.99,327.27,269.93,320.28,10.50,10097.76,129.67
0.00,0.50,1.00,20.00,5.00,99.00,0.99,327.80,269.87,321.46,10.54,10498.40,136.82
0.00,0.50,1.00,20.00,50.00,99.00,0.99,326.49,270.42,320.20,10.50,10470.95,146.18
0.00,0.50,1.00,20.00,7.00,99.00,0.99,327.48,270.42,321.10,10.49,10524.88,136.64
0.00,0.50,1.00,3.00,0.00,100.00,1.00,21.44,269.98,13.23,1.07,310.41,109.95
0.00,0.50,1.00,3.00,1.00,100.00,1.00,28.62,271.96,21.63,1.32,607.21,123.91
0.00,0.50,1.00,3.00,10.00,99.00,0.99,313.55,270.58,307.36,10.10,9930.19,142.94
0.00,0.50,1.00,3.00,2.00,99.00,0.99,37.07,269.71,29.64,1.66,827.36,126.95
0.00,0.50,1.00,3.00,20.00,99.00,0.99,327.55,270.42,320.47,10.50,10133.88,136.82
0.00,0.50,1.00,3.00,3.00,99.00,0.99,39.78,272.54,33.08,1.77,987.36,125.89
0.00,0.50,1.00,3.00,5.00,99.00,0.99,114.32,271.18,107.84,4.04,3627.93,165.02
0.00,0.50,1.00,3.00,50.00,99.00,0.99,327.13,270.42,320.46,10.50,10468.46,136.82
0.00,0.50,1.00,3.00,7.00,99.00,0.99,252.93,270.01,246.15,8.23,7594.58,142.85
0.00,0.50,1.00,5.00,0.00,100.00,1.00,21.50,273.26,14.05,1.08,344.81,109.34
0.00,0.50,1.00,5.00,1.00,99.00,0.99,38.09,272.05,31.04,1.71,891.66,128.32
0.00,0.50,1.00,5.00,10.00,99.00,0.99,327.13,270.42,320.45,10.50,10378.41,138.73
0.00,0.50,1.00,5.00,2.00,99.00,0.99,100.48,271.95,93.83,3.60,3003.66,140.54
0.00,0.50,1.00,5.00,20.00,99.00,0.99,327.41,269.93,320.69,10.51,10067.14,136.82
0.00,0.50,1.00,5.00,3.00,99.00,0.99,126.89,270.06,120.14,4.38,3741.82,134.05
0.00,0.50,1.00,5.00,5.00,99.00,0.99,251.10,269.94,244.18,8.19,7780.24,144.76
0.00,0.50,1.00,5.00,50.00,99.00,0.99,326.70,270.20,320.10,10.49,10529.97,149.40
0.00,0.50,1.00,5.00,7.00,99.00,0.99,313.07,270.05,305.56,10.04,9190.81,142.20
0.00,0.50,1.00,50.00,0.00,99.00,0.99,331.63,269.91,323.14,10.57,10085.39,133.29
0.00,0.50,1.00,50.00,1.00,99.00,0.99,325.94,269.86,319.59,10.49,10344.28,136.82
0.00,0.50,1.00,50.00,10.00,99.00,0.99,326.74,270.42,320.59,10.50,10174.79,136.82
0.00,0.50,1.00,50.00,2.00,99.00,0.99,326.13,270.42,319.80,10.49,10287.77,136.82
0.00,0.50,1.00,50.00,20.00,99.00,0.99,327.31,269.93,320.41,10.51,10151.31,136.82
0.00,0.50,1.00,50.00,3.00,99.00,0.99,328.24,269.93,320.55,10.50,9720.31,135.42
0.00,0.50,1.00,50.00,5.00,99.00,0.99,328.86,270.46,322.22,10.55,10028.14,132.86
0.00,0.50,1.00,50.00,50.00,99.00,0.99,327.03,270.42,320.53,10.50,10116.50,135.42
0.00,0.50,1.00,50.00,7.00,99.00,0.99,326.48,270.18,319.93,10.50,10471.85,132.61
0.00,0.50,10.00,0.00,0.00,100.00,1.00,14.46,233.63,7.60,1.00,155.92,38.14
0.00,0.50,10.00,0.00,1.00,100.00,1.00,12.26,233.63,6.52,1.00,155.92,38.14
0.00,0.50,10.00,0.00,10.00,100.00,1.00,12.18,233.63,6.53,1.00,155.92,38.14
0.00,0.50,10.00,0.00,2.00,100.00,1.00,11.68,233.63,6.56,1.00,155.92,38.14
0.00,0.50,10.00,0.00,20.00,100.00,1.00,11.99,233.63,6.38,1.00,155.92,38.14
0.00,0.50,10.00,0.00,3.00,100.00,1.00,12.28,233.63,6.53,1.00,155.92,38.14
0.00,0.50,10.00,0.00,5.00,100.00,1.00,12.07,233.63,6.63,1.00,155.92,38.14
0.00,0.50,10.00,0.00,50.00,100.00,1.00,12.05,233.63,6.32,1.00,155.92,38.14
0.00,0.50,10.00,0.00,7.00,100.00,1.00,11.69,233.63,6.23,1.00,155.92,38.14
0.00,0.50,10.00,1.00,0.00,100.00,1.00,14.80,233.63,7.92,1.00,155.92,38.14
0.00,0.50,10.00,1.00,1.00,100.00,1.00,11.80,233.63,6.62,1.00,155.92,38.14
0.00,0.50,10.00,1.00,10.00,100.00,1.00,11.99,233.63,6.44,1.00,155.92,38.14
0.00,0.50,10.00,1.00,2.00,100.00,1.00,11.83,233.63,6.44,1.00,155.92,38.14
0.00,0.50,10.00,1.00,20.00,100.00,1.00,11.89,233.63,6.32,1.00,155.92,38.14
0.00,0.50,10.00,1.00,3.00,100.00,1.00,11.75,233.63,6.33,1.00,155.92,38.14
0.00,0.50,10.00,1.00,5.00,100.00,1.00,11.73,233.63,6.28,1.00,155.92,38.14
0.00,0.50,10.00,1.00,50.00,100.00,1.00,12.08,233.63,6.57,1.00,155.92,38.14
0.00,0.50,10.00,1.00,7.00,100.00,1.00,12.03,233.63,6.51,1.00,155.92,38.14
0.00,0.50,10.00,10.00,0.00,100.00,1.00,25.63,233.87,13.48,1.04,161.54,38.17
0.00,0.50,10.00,10.00,1.00,100.00,1.00,24.10,233.63,12.22,1.00,155.92,38.14
