node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,73.00,0.89,1608.62,289.34,1601.01,53.93,66941.37,32.56
0.00,0.50,0.00,0.00,1.00,100.00,1.00,47.89,382.50,36.60,1.76,1055.89,41.47
0.00,0.50,0.00,0.00,10.00,99.00,1.00,15791.49,708.09,15784.95,478.56,423499.33,833.75
0.00,0.50,0.00,0.00,2.00,100.00,1.00,70.06,470.60,56.00,2.03,851.65,68.59
0.00,0.50,0.00,0.00,20.00,100.00,1.00,17856.96,697.86,17852.65,541.29,492291.73,931.19
0.00,0.50,0.00,0.00,3.00,100.00,1.00,574.50,518.25,560.77,16.99,14039.80,160.45
0.00,0.50,0.00,0.00,5.00,100.00,1.00,6953.04,584.58,6942.85,210.29,179492.04,468.74
0.00,0.50,0.00,0.00,50.00,91.00,0.97,20048.78,711.69,20045.79,609.16,553721.79,863.26
0.00,0.50,0.00,0.00,7.00,100.00,1.00,11313.50,637.53,11305.65,342.54,299459.53,735.16
0.00,0.50,1.00,0.00,0.00,73.00,0.89,1608.82,289.34,1601.42,53.93,65321.80,32.56
0.00,0.50,1.00,0.00,1.00,88.00,0.95,786.93,323.63,777.14,26.32,25620.70,171.11
0.00,0.50,1.00,0.00,10.00,100.00,1.00,3259.61,505.56,3249.00,98.51,95366.12,718.78
0.00,0.50,1.00,0.00,2.00,100.00,1.00,19.08,359.24,8.96,1.00,159.33,17.10
0.00,0.50,1.00,0.00,20.00,100.00,1.00,6222.96,545.20,6213.63,188.63,175076.90,595.59
0.00,0.50,1.00,0.00,3.00,100.00,1.00,26.22,396.72,13.81,1.00,231.94,40.57
0.00,0.50,1.00,0.00,5.00,100.00,1.00,32.29,430.15,21.20,1.02,460.59,131.39
0.00,0.50,1.00,0.00,50.00,100.00,1.00,6194.06,550.93,6184.72,187.79,185217.07,610.08
0.00,0.50,1.00,0.00,7.00,100.00,1.00,789.87,461.03,777.98,23.69,21033.06,359.15
0.00,0.50,1.00,1.00,0.00,73.00,0.89,1713.04,302.36,1705.26,57.05,68533.45,34.69
0.00,0.50,1.00,1.00,1.00,100.00,1.00,53.36,354.59,43.76,2.06,1510.68,62.98
0.00,0.50,1.00,1.00,10.00,100.00,1.00,3687.67,512.83,3676.51,111.51,108009.60,759.39
0.00,0.50,1.00,1.00,2.00,100.00,1.00,22.77,396.72,12.51,1.00,231.94,40.57
0.00,0.50,1.00,1.00,20.00,100.00,1.00,6165.86,548.55,6155.62,186.88,175608.61,616.89
0.00,0.50,1.00,1.00,3.00,100.00,1.00,31.04,421.04,18.01,1.00,344.07,78.24
0.00,0.50,1.00,1.00,5.00,100.00,1.00,187.09,445.31,174.01,5.48,4507.27,217.49
0.00,0.50,1.00,1.00,50.00,100.00,1.00,6357.79,548.15,6347.94,192.73,185889.12,607.59
0.00,0.50,1.00,1.00,7.00,100.00,1.00,1555.34,482.12,1543.95,46.87,44108.70,505.41
0.00,0.50,1.00,10.00,0.00,100.00,1.00,3443.31,496.07,3432.63,104.13,93523.56,693.99
0.00,0.50,1.00,10.00,1.00,100.00,1.00,3793.89,515.74,3782.76,114.74,110208.85,752.11
0.00,0.50,1.00,10.00,10.00,100.00,1.00,5994.51,551.15,5984.99,181.65,185781.25,655.86
0.00,0.50,1.00,10.00,2.00,100.00,1.00,4013.18,522.56,4002.91,121.46,117502.45,769.68
0.00,0.50,1.00,10.00,20.00,100.00,1.00,6210.94,548.16,6201.43,188.29,187678.43,624.66
0.00,0.50,1.00,10.00,3.00,100.00,1.00,4083.21,523.93,4072.86,123.52,125275.16,786.95
0.00,0.50,1.00,10.00,5.00,100.00,1.00,4704.22,538.34,4693.73,142.40,142201.04,776.35
0.00,0.50,1.00,10.00,50.00,100.00,1.00,6288.30,547.70,6279.07,190.62,184761.01,609.56
0.00,0.50,1.00,10.00,7.00,100.00,1.00,5516.89,546.96,5506.67,167.11,165652.22,717.00
0.00,0.50,1.00,2.00,0.00,97.00,0.99,472.01,351.29,460.25,15.16,18958.55,37.91
0.00,0.50,1.00,2.00,1.00,100.00,1.00,23.51,393.52,12.64,1.00,227.98,39.67
0.00,0.50,1.00,2.00,10.00,100.00,1.00,4200.27,516.70,4189.43,127.08,118691.47,752.74
0.00,0.50,1.00,2.00,2.00,100.00,1.00,27.91,421.04,16.79,1.00,344.08,78.24
0.00,0.50,1.00,2.00,20.00,100.00,1.00,6249.15,547.52,6239.90,189.45,182281.70,622.82
0.00,0.50,1.00,2.00,3.00,100.00,1.00,30.77,429.17,19.93,1.00,448.16,131.16
0.00,0.50,1.00,2.00,5.00,100.00,1.00,776.50,459.71,764.89,23.32,21154.22,369.18
0.00,0.50,1.00,2.00,50.00,100.00,1.00,6233.25,546.52,6223.79,188.98,181606.06,612.80
0.00,0.50,1.00,2.00,7.00,100.00,1.00,2669.41,492.99,2658.87,80.66,75126.26,614.59
0.00,0.50,1.00,20.00,0.00,99.00,1.00,6046.37,546.84,6036.06,183.37,178957.96,642.71
0.00,0.50,1.00,20.00,1.00,100.00,1.00,6174.53,550.28,6165.22,187.19,184518.10,642.38
0.00,0.50,1.00,20.00,10.00,100.00,1.00,6159.96,553.95,6150.36,186.73,186005.25,613.93
0.00,0.50,1.00,20.00,2.00,100.00,1.00,6116.22,553.17,6106.51,185.32,186571.10,649.35
0.00,0.50,1.00,20.00,20.00,100.00,1.00,6208.72,549.37,6199.55,188.24,186210.77,622.29
0.00,0.50,1.00,20.00,3.00,100.00,1.00,6333.99,551.33,6324.70,192.00,190727.63,627.69
0.00,0.50,1.00,20.00,5.00,100.00,1.00,6201.99,551.17,6192.22,187.99,183430.83,616.57
0.00,0.50,1.00,20.00,50.00,100.00,1.00,6141.14,550.21,6131.35,186.19,186767.96,609.84
0.00,0.50,1.00,20.00,7.00,100.00,1.00,6196.18,553.33,6186.74,187.81,190658.77,619.34
0.00,0.50,1.00,3.00,0.00,99.00,1.00,142.76,391.37,130.77,4.73,5172.06,56.99
0.00,0.50,1.00,3.00,1.00,100.00,1.00,27.79,419.56,16.51,1.01,344.84,78.26
0.00,0.50,1.00,3.00,10.00,100.00,1.00,4130.54,514.14,4120.60,124.95,122233.54,771.83
0.00,0.50,1.00,3.00,2.00,100.00,1.00,32.58,429.16,21.22,1.02,464.18,131.68
0.00,0.50,1.00,3.00,20.00,100.00,1.00,6180.39,551.50,6170.66,187.33,181638.22,620.45
0.00,0.50,1.00,3.00,3.00,100.00,1.00,124.77,443.25,113.89,3.72,3140.16,215.31
0.00,0.50,1.00,3.00,5.00,100.00,1.00,1375.35,482.71,1363.68,41.40,38720.70,503.00
0.00,0.50,1.00,3.00,50.00,100.00,1.00,6278.45,549.94,6268.84,190.32,186389.33,613.70
0.00,0.50,1.00,3.00,7.00,100.00,1.00,3211.81,503.09,3201.36,97.08,95156.50,723.43
0.00,0.50,1.00,5.00,0.00,100.00,1.00,130.95,427.08,118.33,3.96,4341.21,140.88
0.00,0.50,1.00,5.00,1.00,100.00,1.00,110.07,439.74,98.37,3.26,2692.13,218.79
0.00,0.50,1.00,5.00,10.00,100.00,1.00,4687.35,530.10,4677.10,141.86,140359.67,762.69
0.00,0.50,1.00,5.00,2.00,100.00,1.00,763.78,462.51,752.31,22.91,19818.91,353.33
0.00,0.50,1.00,5.00,20.00,100.00,1.00,6218.02,550.21,6208.20,188.46,181608.83,612.87
0.00,0.50,1.00,5.00,3.00,100.00,1.00,1508.36,480.72,1497.31,45.45,42866.80,498.91
0.00,0.50,1.00,5.00,5.00,100.00,1.00,3145.03,499.48,3134.38,95.08,94008.43,714.09
0.00,0.50,1.00,5.00,50.00,100.00,1.00,6291.85,551.61,6282.38,190.72,188966.50,621.81
0.00,0.50,1.00,5.00,7.00,100.00,1.00,3932.50,515.01,3922.33,118.96,112761.14,764.64
0.00,0.50,1.00,50.00,0.00,99.00,1.00,6200.47,548.18,6190.71,188.11,181616.92,614.75
0.00,0.50,1.00,50.00,1.00,100.00,1.00,6270.28,549.84,6261.17,190.01,184009.45,603.49
0.00,0.50,1.00,50.00,10.00,100.00,1.00,6248.44,551.93,6238.98,189.25,184776.98,617.90
0.00,0.50,1.00,50.00,2.00,100.00,1.00,6256.01,549.39,6246.66,189.65,181164.86,614.15
0.00,0.50,1.00,50.00,20.00,100.00,1.00,6222.54,546.78,6213.45,188.67,183736.15,619.48
0.00,0.50,1.00,50.00,3.00,100.00,1.00,6278.00,550.62,6268.38,190.31,182826.62,616.88
0.00,0.50,1.00,50.00,5.00,100.00,1.00,6211.70,550.81,6202.46,188.32,181156.42,598.54
0.00,0.50,1.00,50.00,50.00,100.00,1.00,6295.81,550.53,6286.69,190.84,182619.25,612.37
0.00,0.50,1.00,50.00,7.00,100.00,1.00,6274.34,547.82,6265.15,190.20,187725.75,605.99
0.00,0.50,10.00,0.00,0.00,73.00,0.89,1606.94,289.34,1600.96,53.93,67514.32,32.56
0.00,0.50,10.00,0.00,1.00,73.00,0.89,1606.34,289.34,1600.50,53.93,66840.75,32.49
0.00,0.50,10.00,0.00,10.00,73.00,0.89,1606.34,289.34,1600.69,53.93,66091.34,32.10
0.00,0.50,10.00,0.00,2.00,73.00,0.89,1606.13,289.34,1600.23,53.93,67253.68,32.32
0.00,0.50,10.00,0.00,20.00,73.00,0.89,1606.28,289.34,1600.30,53.93,65940.16,32.10
0.00,0.50,10.00,0.00,3.00,73.00,0.89,1606.55,289.34,1600.65,53.93,65888.71,32.30
0.00,0.50,10.00,0.00,5.00,73.00,0.89,1606.13,289.34,1600.26,53.93,66825.00,32.10
0.00,0.50,10.00,0.00,50.00,73.00,0.89,1606.14,289.34,1600.32,53.93,67233.69,32.10
0.00,0.50,10.00,0.00,7.00,73.00,0.89,1606.73,289.34,1600.37,53.93,66595.43,32.10
0.00,0.50,10.00,1.00,0.00,73.00,0.89,1607.11,289.34,1600.50,53.93,67448.39,32.52
0.00,0.50,10.00,1.00,1.00,73.00,0.89,1606.18,289.34,1600.44,53.93,67607.88,32.26
0.00,0.50,10.00,1.00,10.00,73.00,0.89,1606.19,289.34,1600.35,53.93,66795.48,32.10
0.00,0.50,10.00,1.00,2.00,73.00,0.89,1606.04,289.34,1600.27,53.93,67764.08,32.30
0.00,0.50,10.00,1.00,20.00,73.00,0.89,1606.28,289.34,1600.25,53.93,66136.05,32.10
0.00,0.50,10.00,1.00,3.00,73.00,0.89,1606.12,289.34,1600.44,53.93,66993.07,32.18
0.00,0.50,10.00,1.00,5.00,73.00,0.89,1606.29,289.34,1600.32,53.93,66907.65,32.10
0.00,0.50,10.00,1.00,50.00,73.00,0.89,1606.13,289.34,1600.19,53.93,67198.12,32.10
0.00,0.50,10.00,1.00,7.00,73.00,0.89,1606.37,289.34,1600.41,53.93,67414.80,32.10
0.00,0.50,10.00,10.00,0.00,73.00,0.89,1627.71,289.35,1613.77,54.00,38758.38,32.10
0.00,0.50,10.00,10.00,1.00,73.00,0.89,1627.55,289.36,1614.16,54.04,38702.90,32.10
0.00,0.50,10.00,10.00,10.00,73.00,0.89,1622.98,289.34,1611.02,53.99,40821.84,32.10
0.00,0.50,10.00,10.00,2.00,73.00,0.89,1628.54,289.36,1614.31,53.98,39116.09,33.48
0.00,0.50,10.00,10.00,20.00,73.00,0.89,1625.76,289.34,1612.76,53.99,39152.03,33.14
0.00,0.50,10.00,10.00,3.00,73.00,0.89,1628.01,289.35,1614.56,54.03,37383.74,32.10
0.00,0.50,10.00,10.00,5.00,73.00,0.89,1644.87,288.91,1632.15,54.54,38932.22,31.00
0.00,0.50,10.00,10.00,50.00,73.00,0.89,1626.12,289.35,1613.82,54.00,38683.95,32.10
