node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,82.00,0.92,6487.95,604.92,6472.28,200.30,232758.88,444.40
0.00,0.50,0.00,0.00,1.00,98.00,1.00,754.50,572.77,739.42,23.07,25023.99,198.39
0.00,0.50,0.00,0.00,10.00,96.00,1.00,16972.65,837.31,16963.59,515.39,485709.30,786.94
0.00,0.50,0.00,0.00,2.00,98.00,1.00,1932.72,666.88,1915.62,58.52,58919.67,235.65
0.00,0.50,0.00,0.00,20.00,95.00,1.00,19421.16,839.43,19414.52,589.79,564406.81,947.50
0.00,0.50,0.00,0.00,3.00,100.00,1.00,4536.57,722.23,4520.58,137.06,129219.68,361.01
0.00,0.50,0.00,0.00,5.00,99.00,1.00,10562.79,788.26,10549.55,320.15,299062.68,591.86
0.00,0.50,0.00,0.00,50.00,95.00,0.99,20385.26,848.85,20378.36,619.22,589381.51,950.30
0.00,0.50,0.00,0.00,7.00,97.00,1.00,13786.30,806.85,13775.66,418.22,390119.61,738.89
0.00,0.50,1.00,0.00,0.00,81.00,0.91,6501.86,604.06,6486.74,200.75,233999.98,434.41
0.00,0.50,1.00,0.00,1.00,97.00,0.99,1151.85,552.25,1138.44,35.52,38277.43,259.13
0.00,0.50,1.00,0.00,10.00,99.00,0.99,4404.54,661.41,4389.54,133.58,137678.59,570.12
0.00,0.50,1.00,0.00,2.00,98.00,1.00,1157.17,556.38,1143.24,35.41,38494.01,234.89
0.00,0.50,1.00,0.00,20.00,98.00,0.99,4945.40,665.40,4931.45,150.19,154158.85,540.98
0.00,0.50,1.00,0.00,3.00,98.00,1.00,1578.54,586.87,1563.19,48.10,48255.32,245.09
0.00,0.50,1.00,0.00,5.00,100.00,1.00,2298.25,632.30,2282.79,69.40,71838.14,381.49
0.00,0.50,1.00,0.00,50.00,98.00,0.99,4971.94,665.77,4958.36,151.04,161679.64,563.54
0.00,0.50,1.00,0.00,7.00,100.00,1.00,3100.66,649.40,3086.06,93.88,100214.77,519.01
0.00,0.50,1.00,1.00,0.00,91.00,0.97,2865.00,567.02,2847.00,87.95,101096.70,363.34
0.00,0.50,1.00,1.00,1.00,98.00,1.00,1056.14,555.10,1040.83,32.26,34539.95,227.83
0.00,0.50,1.00,1.00,10.00,98.00,0.99,4570.86,655.91,4556.70,138.80,143907.65,571.08
0.00,0.50,1.00,1.00,2.00,98.00,1.00,1517.43,588.69,1501.93,46.35,50249.18,256.87
0.00,0.50,1.00,1.00,20.00,98.00,0.99,4920.92,664.50,4907.01,149.47,158995.70,557.84
0.00,0.50,1.00,1.00,3.00,98.00,1.00,1909.83,611.10,1893.63,57.79,60371.05,311.22
0.00,0.50,1.00,1.00,5.00,100.00,1.00,2537.07,644.69,2521.42,76.57,80990.92,459.45
0.00,0.50,1.00,1.00,50.00,98.00,0.99,4819.79,663.50,4806.63,146.44,160268.79,577.14
0.00,0.50,1.00,1.00,7.00,99.00,0.99,3864.17,658.69,3848.75,117.31,121956.53,556.46
0.00,0.50,1.00,10.00,0.00,99.00,1.00,4201.75,657.53,4183.82,127.23,126343.61,570.09
0.00,0.50,1.00,10.00,1.00,98.00,1.00,4188.91,654.09,4173.41,127.13,131150.28,558.12
0.00,0.50,1.00,10.00,10.00,98.00,0.99,4893.97,661.60,4880.37,148.69,159782.44,550.98
0.00,0.50,1.00,10.00,2.00,99.00,1.00,4169.53,654.01,4155.77,126.50,134403.56,598.18
0.00,0.50,1.00,10.00,20.00,98.00,0.99,4840.73,663.70,4827.53,147.06,161456.71,569.84
0.00,0.50,1.00,10.00,3.00,97.00,0.99,4539.98,655.91,4525.33,137.97,146898.16,582.78
0.00,0.50,1.00,10.00,5.00,98.00,0.99,4815.23,665.41,4801.64,146.26,157439.93,592.65
0.00,0.50,1.00,10.00,50.00,98.00,0.99,4872.14,661.06,4858.86,148.03,159858.76,572.53
0.00,0.50,1.00,10.00,7.00,98.00,0.99,4885.30,664.09,4871.90,148.44,159005.30,590.43
0.00,0.50,1.00,2.00,0.00,98.00,1.00,1371.65,559.95,1354.76,41.69,46772.72,319.48
0.00,0.50,1.00,2.00,1.00,98.00,1.00,1188.82,579.33,1174.43,36.25,39722.14,246.59
0.00,0.50,1.00,2.00,10.00,98.00,0.99,4638.49,656.75,4625.05,140.94,148396.30,593.30
0.00,0.50,1.00,2.00,2.00,100.00,1.00,1664.30,612.36,1649.43,50.31,52948.78,312.52
0.00,0.50,1.00,2.00,20.00,98.00,0.99,4928.21,663.45,4914.18,149.68,157748.46,555.18
0.00,0.50,1.00,2.00,3.00,100.00,1.00,2206.04,636.50,2190.94,66.63,70957.38,370.46
0.00,0.50,1.00,2.00,5.00,99.00,1.00,3099.09,648.67,3083.65,93.82,96383.91,511.60
0.00,0.50,1.00,2.00,50.00,98.00,0.99,4902.14,660.24,4889.07,148.96,158100.29,557.96
0.00,0.50,1.00,2.00,7.00,98.00,0.99,4106.25,657.04,4091.45,124.76,130672.96,586.10
0.00,0.50,1.00,20.00,0.00,99.00,1.00,4843.32,661.05,4825.59,146.71,151720.82,548.92
0.00,0.50,1.00,20.00,1.00,98.00,1.00,4746.10,662.03,4731.99,144.06,150175.45,541.08
0.00,0.50,1.00,20.00,10.00,98.00,0.99,4847.36,662.74,4833.96,147.26,157848.12,547.33
0.00,0.50,1.00,20.00,2.00,99.00,1.00,4626.40,661.26,4612.70,140.32,150421.47,571.27
0.00,0.50,1.00,20.00,20.00,98.00,0.99,4897.79,662.05,4884.19,148.80,157833.90,552.54
0.00,0.50,1.00,20.00,3.00,97.00,0.99,4830.59,660.27,4816.63,146.71,156878.78,550.66
0.00,0.50,1.00,20.00,5.00,98.00,0.99,4882.49,666.45,4869.25,148.30,161257.88,576.98
0.00,0.50,1.00,20.00,50.00,98.00,0.99,4944.09,667.53,4930.50,150.12,161152.37,564.19
0.00,0.50,1.00,20.00,7.00,98.00,0.99,4832.67,662.16,4819.40,146.80,161028.85,569.84
0.00,0.50,1.00,3.00,0.00,99.00,1.00,1465.66,585.00,1446.98,44.14,48914.22,308.02
0.00,0.50,1.00,3.00,1.00,99.00,1.00,1788.72,609.41,1773.59,54.16,59098.43,311.62
0.00,0.50,1.00,3.00,10.00,98.00,0.99,4648.54,659.33,4634.50,141.27,147129.46,605.53
0.00,0.50,1.00,3.00,2.00,100.00,1.00,2118.04,636.88,2102.77,63.93,69497.25,381.60
0.00,0.50,1.00,3.00,20.00,98.00,0.99,4862.17,662.83,4848.66,147.74,158005.44,555.27
0.00,0.50,1.00,3.00,3.00,100.00,1.00,2538.92,647.93,2523.79,76.74,82148.62,447.80
0.00,0.50,1.00,3.00,5.00,99.00,0.99,3677.76,656.23,3662.71,111.66,119648.37,559.82
0.00,0.50,1.00,3.00,50.00,98.00,0.99,4902.88,663.90,4889.09,148.92,159693.72,559.67
0.00,0.50,1.00,3.00,7.00,99.00,0.99,4305.33,659.87,4291.77,130.57,140371.59,587.57
0.00,0.50,1.00,5.00,0.00,100.00,1.00,2160.54,629.23,2142.67,65.08,69985.76,395.89
0.00,0.50,1.00,5.00,1.00,100.00,1.00,2574.15,641.82,2558.66,77.78,79676.90,421.19
0.00,0.50,1.00,5.00,10.00,98.00,0.99,4893.76,662.89,4879.98,148.61,156259.40,579.89
0.00,0.50,1.00,5.00,2.00,100.00,1.00,2715.70,646.39,2700.95,82.04,87703.80,486.89
0.00,0.50,1.00,5.00,20.00,98.00,0.99,5131.95,661.66,5118.08,155.84,158462.89,547.85
0.00,0.50,1.00,5.00,3.00,98.00,0.99,3647.30,652.18,3631.25,110.86,115901.39,549.62
0.00,0.50,1.00,5.00,5.00,99.00,0.99,4260.47,663.83,4246.20,129.18,137982.50,585.57
0.00,0.50,1.00,5.00,50.00,98.00,0.99,4833.41,666.70,4819.57,146.83,159472.19,561.34
0.00,0.50,1.00,5.00,7.00,97.00,0.99,4891.67,654.18,4877.21,148.63,146565.46,585.09
0.00,0.50,1.00,50.00,0.00,99.00,1.00,4822.30,662.68,4804.17,146.00,150626.00,558.09
0.00,0.50,1.00,50.00,1.00,99.00,1.00,4691.15,665.54,4677.58,142.28,149159.43,550.50
0.00,0.50,1.00,50.00,10.00,98.00,0.99,4897.06,662.89,4883.62,148.78,160116.55,564.01
0.00,0.50,1.00,50.00,2.00,99.00,1.00,4614.32,668.75,4600.71,139.96,151124.26,565.11
0.00,0.50,1.00,50.00,20.00,98.00,0.99,4881.41,666.68,4868.22,148.29,159383.83,563.30
0.00,0.50,1.00,50.00,3.00,97.00,0.99,5090.97,659.46,5076.86,154.62,160218.72,554.91
0.00,0.50,1.00,50.00,5.00,98.00,0.99,4874.72,661.80,4861.04,148.05,155356.92,560.80
0.00,0.50,1.00,50.00,50.00,98.00,0.99,4997.55,666.26,4984.48,151.80,158850.75,559.72
0.00,0.50,1.00,50.00,7.00,98.00,0.99,4842.15,663.29,4829.21,147.04,159002.64,579.75
0.00,0.50,10.00,0.00,0.00,81.00,0.91,6513.52,605.88,6500.38,201.24,227345.42,435.36
0.00,0.50,10.00,0.00,1.00,81.00,0.91,6470.44,602.75,6460.57,200.18,228166.99,435.50
0.00,0.50,10.00,0.00,10.00,81.00,0.91,6507.90,603.04,6497.84,201.40,228622.50,432.20
