node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,100.00,1.00,62.73,323.48,53.87,2.33,2018.52,49.16
0.00,0.50,0.00,0.00,1.00,100.00,1.00,22.42,375.86,11.35,1.00,192.03,30.70
0.00,0.50,0.00,0.00,10.00,99.33,1.00,9339.72,531.89,9333.18,283.14,253050.36,644.01
0.00,0.50,0.00,0.00,2.00,100.00,1.00,29.42,437.75,18.08,1.01,366.24,61.08
0.00,0.50,0.00,0.00,20.00,99.00,1.00,11640.34,531.88,11635.65,353.05,323680.28,858.30
0.00,0.50,0.00,0.00,3.00,100.00,1.00,371.34,465.32,359.56,11.04,9106.32,130.05
0.00,0.50,0.00,0.00,5.00,100.00,1.00,4244.81,486.79,4235.44,128.43,113358.44,333.25
0.00,0.50,0.00,0.00,50.00,94.00,0.97,14373.10,560.88,14369.76,436.63,398454.91,753.47
0.00,0.50,0.00,0.00,7.00,100.00,1.00,6991.90,515.26,6984.05,211.79,192771.66,510.57
0.00,0.50,1.00,0.00,0.00,100.00,1.00,53.95,323.80,45.20,2.07,1720.50,50.72
0.00,0.50,1.00,0.00,1.00,100.00,1.00,21.31,332.19,10.95,1.02,195.93,32.67
0.00,0.50,1.00,0.00,10.00,100.00,1.00,927.13,378.78,917.91,28.17,25305.64,333.96
0.00,0.50,1.00,0.00,2.00,100.00,1.00,17.99,337.83,8.98,1.00,173.61,27.00
0.00,0.50,1.00,0.00,20.00,100.00,1.00,2858.66,390.54,2850.95,86.92,83463.22,373.62
0.00,0.50,1.00,0.00,3.00,100.00,1.00,21.67,347.16,11.41,1.00,200.85,40.14
0.00,0.50,1.00,0.00,5.00,100.00,1.00,27.72,361.85,18.23,1.10,412.31,99.00
0.00,0.50,1.00,0.00,50.00,99.67,1.00,3347.81,390.45,3340.65,101.88,98065.02,303.93
0.00,0.50,1.00,0.00,7.00,100.00,1.00,213.42,369.54,204.35,6.64,5741.07,199.52
0.00,0.50,1.00,1.00,0.00,100.00,1.00,30.43,331.15,21.49,1.37,753.93,45.39
0.00,0.50,1.00,1.00,1.00,100.00,1.00,18.56,336.54,9.52,1.02,197.63,32.39
0.00,0.50,1.00,1.00,10.00,100.00,1.00,1184.20,380.43,1175.08,35.99,34312.98,367.83
0.00,0.50,1.00,1.00,2.00,100.00,1.00,19.02,346.98,10.11,1.00,201.67,37.83
0.00,0.50,1.00,1.00,20.00,100.00,1.00,2884.84,390.19,2876.84,87.72,85883.84,381.73
0.00,0.50,1.00,1.00,3.00,100.00,1.00,22.62,353.38,12.89,1.00,257.41,64.42
0.00,0.50,1.00,1.00,5.00,100.00,1.00,50.63,365.42,40.75,1.72,1042.25,144.65
0.00,0.50,1.00,1.00,50.00,99.67,1.00,3365.78,391.08,3358.41,102.45,99517.30,306.07
0.00,0.50,1.00,1.00,7.00,100.00,1.00,415.36,373.13,405.84,12.71,11448.52,249.38
0.00,0.50,1.00,10.00,0.00,100.00,1.00,1098.83,376.75,1089.52,33.37,28645.12,330.31
0.00,0.50,1.00,10.00,1.00,100.00,1.00,1177.76,379.98,1168.66,35.79,33492.40,369.28
0.00,0.50,1.00,10.00,10.00,100.00,1.00,2867.62,391.04,2859.81,87.19,84442.43,378.05
0.00,0.50,1.00,10.00,2.00,100.00,1.00,1495.34,381.48,1486.78,45.48,43789.87,373.90
0.00,0.50,1.00,10.00,20.00,99.67,1.00,3321.82,390.69,3314.49,101.09,99225.97,312.63
0.00,0.50,1.00,10.00,3.00,100.00,1.00,1876.32,384.04,1867.64,57.02,53733.46,376.96
0.00,0.50,1.00,10.00,5.00,100.00,1.00,2376.02,388.22,2367.53,72.23,69516.04,388.24
0.00,0.50,1.00,10.00,50.00,99.67,1.00,3334.17,390.34,3326.69,101.47,96896.05,299.00
0.00,0.50,1.00,10.00,7.00,100.00,1.00,2628.07,391.29,2620.09,79.91,78016.99,372.99
0.00,0.50,1.00,2.00,0.00,100.00,1.00,18.88,336.20,10.21,1.03,242.72,42.45
0.00,0.50,1.00,2.00,1.00,100.00,1.00,19.25,346.93,10.36,1.00,211.13,42.16
0.00,0.50,1.00,2.00,10.00,100.00,1.00,1499.87,381.09,1491.27,45.57,43548.19,378.88
0.00,0.50,1.00,2.00,2.00,100.00,1.00,21.17,353.42,12.10,1.01,267.00,65.18
0.00,0.50,1.00,2.00,20.00,100.00,1.00,2915.62,388.15,2907.97,88.68,84669.79,368.69
0.00,0.50,1.00,2.00,3.00,100.00,1.00,26.07,361.70,17.14,1.10,416.88,98.37
0.00,0.50,1.00,2.00,5.00,100.00,1.00,209.58,369.38,200.32,6.51,5577.15,198.62
0.00,0.50,1.00,2.00,50.00,99.67,1.00,3395.38,391.18,3388.03,103.37,98091.13,302.51
0.00,0.50,1.00,2.00,7.00,100.00,1.00,619.46,373.42,610.57,18.90,17515.96,296.43
0.00,0.50,1.00,20.00,0.00,100.00,1.00,2862.85,389.43,2854.62,87.02,82229.17,372.63
0.00,0.50,1.00,20.00,1.00,100.00,1.00,2861.66,389.52,2854.02,87.01,85825.29,383.87
0.00,0.50,1.00,20.00,10.00,99.67,1.00,3332.68,390.77,3325.40,101.43,99681.67,313.04
