node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,100.00,1.00,85.04,331.74,76.06,3.00,2918.82,62.80
0.00,0.50,0.00,0.00,1.00,100.00,1.00,23.09,374.05,11.76,1.00,192.17,33.37
0.00,0.50,0.00,0.00,10.00,99.00,1.00,7885.51,507.92,7878.50,239.03,211028.02,632.09
0.00,0.50,0.00,0.00,2.00,100.00,1.00,27.79,420.05,16.84,1.01,331.50,58.49
0.00,0.50,0.00,0.00,20.00,98.50,0.99,10316.17,494.29,10311.47,312.98,284377.80,852.33
0.00,0.50,0.00,0.00,3.00,100.00,1.00,241.90,452.25,230.38,7.22,5559.92,125.80
0.00,0.50,0.00,0.00,5.00,100.00,1.00,2953.59,467.79,2943.84,89.28,78253.68,312.88
0.00,0.50,0.00,0.00,50.00,92.50,0.97,14117.54,536.43,14114.64,429.26,388952.16,694.61
0.00,0.50,0.00,0.00,7.00,100.00,1.00,5402.61,492.22,5394.32,163.56,148566.50,487.45
0.00,0.50,1.00,0.00,0.00,100.00,1.00,71.89,332.22,62.95,2.60,2471.79,65.15
0.00,0.50,1.00,0.00,1.00,100.00,1.00,22.14,342.27,11.70,1.02,221.50,42.84
0.00,0.50,1.00,0.00,10.00,100.00,1.00,1162.86,385.38,1153.88,35.31,31685.92,327.54
0.00,0.50,1.00,0.00,2.00,100.00,1.00,18.63,345.69,9.38,1.00,180.25,27.43
0.00,0.50,1.00,0.00,20.00,100.00,1.00,3403.15,390.64,3395.84,103.45,98427.84,390.45
0.00,0.50,1.00,0.00,3.00,100.00,1.00,22.04,355.75,11.59,1.00,205.72,40.77
0.00,0.50,1.00,0.00,5.00,100.00,1.00,25.42,369.24,15.78,1.01,337.71,95.70
0.00,0.50,1.00,0.00,50.00,99.50,1.00,4127.58,389.56,4120.96,125.61,120382.99,286.46
0.00,0.50,1.00,0.00,7.00,100.00,1.00,293.02,376.44,283.83,9.04,8018.47,192.61
0.00,0.50,1.00,1.00,0.00,100.00,1.00,37.21,341.02,28.11,1.56,1043.48,59.45
0.00,0.50,1.00,1.00,1.00,100.00,1.00,19.53,344.67,10.14,1.02,217.81,36.90
0.00,0.50,1.00,1.00,10.00,100.00,1.00,1416.21,384.26,1407.28,43.00,40531.96,356.29
0.00,0.50,1.00,1.00,2.00,100.00,1.00,19.57,356.27,10.48,1.00,208.57,37.97
0.00,0.50,1.00,1.00,20.00,100.00,1.00,3421.23,389.60,3413.72,104.02,102203.93,403.31
0.00,0.50,1.00,1.00,3.00,100.00,1.00,22.41,361.94,12.88,1.00,261.64,62.06
0.00,0.50,1.00,1.00,5.00,100.00,1.00,58.20,372.02,48.38,1.93,1250.44,140.47
0.00,0.50,1.00,1.00,50.00,99.50,1.00,4125.31,390.47,4118.69,125.54,122639.91,291.59
0.00,0.50,1.00,1.00,7.00,100.00,1.00,579.36,380.18,569.64,17.66,16037.77,240.01
0.00,0.50,1.00,10.00,0.00,100.00,1.00,1340.45,383.90,1331.29,40.69,34960.88,326.05
0.00,0.50,1.00,10.00,1.00,100.00,1.00,1507.82,383.85,1498.59,45.75,42175.67,357.65
0.00,0.50,1.00,10.00,10.00,100.00,1.00,3411.84,391.61,3404.55,103.72,99451.65,397.74
0.00,0.50,1.00,10.00,2.00,100.00,1.00,1755.40,384.58,1747.03,53.37,51429.68,377.74
0.00,0.50,1.00,10.00,20.00,99.50,1.00,4097.31,390.26,4090.52,124.69,121846.37,301.06
0.00,0.50,1.00,10.00,3.00,100.00,1.00,2232.18,386.33,2223.70,67.81,63099.96,377.44
0.00,0.50,1.00,10.00,5.00,100.00,1.00,2846.68,390.59,2838.78,86.53,83137.73,395.18
0.00,0.50,1.00,10.00,50.00,99.50,1.00,4120.35,389.47,4113.53,125.40,118685.21,280.71
0.00,0.50,1.00,10.00,7.00,100.00,1.00,3091.28,391.37,3083.53,93.97,91878.41,382.65
0.00,0.50,1.00,2.00,0.00,100.00,1.00,19.95,344.46,11.17,1.05,285.01,53.37
0.00,0.50,1.00,2.00,1.00,100.00,1.00,19.93,357.01,10.81,1.00,224.83,45.24
0.00,0.50,1.00,2.00,10.00,100.00,1.00,1733.65,384.06,1725.35,52.65,50317.30,383.77
0.00,0.50,1.00,2.00,2.00,100.00,1.00,21.91,362.18,12.66,1.01,280.80,62.83
0.00,0.50,1.00,2.00,20.00,100.00,1.00,3451.40,387.00,3444.28,104.95,99848.84,386.68
0.00,0.50,1.00,2.00,3.00,100.00,1.00,23.69,369.26,14.54,1.01,338.22,94.81
0.00,0.50,1.00,2.00,5.00,100.00,1.00,288.04,375.67,278.62,8.88,7804.05,192.00
0.00,0.50,1.00,2.00,50.00,99.50,1.00,4147.65,391.14,4140.97,126.25,119922.93,287.97
0.00,0.50,1.00,2.00,7.00,100.00,1.00,834.82,380.17,826.00,25.41,23588.21,295.47
0.00,0.50,1.00,20.00,0.00,100.00,1.00,3381.41,388.94,3373.59,102.75,96494.30,389.29
0.00,0.50,1.00,20.00,1.00,100.00,1.00,3403.45,388.65,3396.03,103.45,101674.99,405.81
0.00,0.50,1.00,20.00,10.00,99.50,1.00,4124.47,390.14,4117.89,125.53,122995.45,301.19
0.00,0.50,1.00,20.00,2.00,100.00,1.00,3498.86,390.48,3491.41,106.36,102658.82,390.07
0.00,0.50,1.00,20.00,20.00,99.50,1.00,4106.74,389.65,4099.95,124.97,119202.32,280.77
0.00,0.50,1.00,20.00,3.00,99.50,1.00,3483.47,386.39,3476.64,105.97,105809.71,399.91
0.00,0.50,1.00,20.00,5.00,99.50,1.00,3721.39,388.44,3714.57,113.19,111706.74,377.33
0.00,0.50,1.00,20.00,50.00,99.50,1.00,4108.18,390.24,4101.54,125.04,121603.98,291.11
0.00,0.50,1.00,20.00,7.00,99.50,1.00,3919.38,388.54,3912.77,119.26,119002.04,379.55
0.00,0.50,1.00,3.00,0.00,100.00,1.00,20.66,355.34,11.71,1.02,244.58,51.02
0.00,0.50,1.00,3.00,1.00,100.00,1.00,21.62,362.64,12.31,1.00,266.58,62.41
0.00,0.50,1.00,3.00,10.00,100.00,1.00,2142.05,385.56,2133.80,65.09,62425.14,380.59
0.00,0.50,1.00,3.00,2.00,100.00,1.00,24.33,368.45,15.19,1.01,342.62,97.04
0.00,0.50,1.00,3.00,20.00,99.50,1.00,3601.66,387.11,3594.51,109.53,104460.95,375.50
0.00,0.50,1.00,3.00,3.00,100.00,1.00,52.01,372.62,42.84,1.79,1160.04,143.78
0.00,0.50,1.00,3.00,5.00,100.00,1.00,646.20,378.18,636.13,19.64,16872.35,235.50
0.00,0.50,1.00,3.00,50.00,99.50,1.00,4092.39,388.35,4085.43,124.54,117299.33,281.81
0.00,0.50,1.00,3.00,7.00,100.00,1.00,1114.30,379.65,1105.52,33.87,31174.44,334.35
0.00,0.50,1.00,5.00,0.00,100.00,1.00,26.58,368.62,16.72,1.03,355.90,98.48
0.00,0.50,1.00,5.00,1.00,100.00,1.00,54.23,371.94,44.30,1.80,1138.81,137.54
0.00,0.50,1.00,5.00,10.00,100.00,1.00,2756.86,389.43,2748.78,83.80,79421.20,381.62
0.00,0.50,1.00,5.00,2.00,100.00,1.00,262.88,376.34,253.23,8.12,7179.50,189.94
0.00,0.50,1.00,5.00,20.00,99.50,1.00,3859.18,389.03,3852.39,117.36,110360.07,367.03
0.00,0.50,1.00,5.00,3.00,100.00,1.00,568.31,378.52,559.14,17.33,15682.69,242.10
0.00,0.50,1.00,5.00,5.00,100.00,1.00,1219.27,384.37,1210.15,37.02,33226.29,326.71
0.00,0.50,1.00,5.00,50.00,99.50,1.00,4131.78,389.58,4124.62,125.72,116621.68,282.25
0.00,0.50,1.00,5.00,7.00,100.00,1.00,1712.80,386.55,1704.45,52.05,50044.42,382.13
0.00,0.50,1.00,50.00,0.00,100.00,1.00,4144.73,391.54,4137.27,126.04,115426.10,291.31
0.00,0.50,1.00,50.00,1.00,99.50,1.00,4126.94,390.04,4120.35,125.58,119300.34,281.40
0.00,0.50,1.00,50.00,10.00,99.50,1.00,4144.74,391.38,4138.03,126.14,117574.96,287.68
0.00,0.50,1.00,50.00,2.00,99.50,1.00,4078.22,388.74,4071.60,124.14,117546.38,286.40
0.00,0.50,1.00,50.00,20.00,99.50,1.00,4110.82,389.88,4103.94,125.09,117052.60,280.73
0.00,0.50,1.00,50.00,3.00,99.50,1.00,4100.11,389.32,4093.37,124.78,118051.68,290.06
0.00,0.50,1.00,50.00,5.00,99.50,1.00,4094.71,389.18,4088.24,124.62,118792.51,287.81
0.00,0.50,1.00,50.00,50.00,99.50,1.00,4102.10,389.56,4095.68,124.87,120695.44,284.55
0.00,0.50,1.00,50.00,7.00,99.50,1.00,4111.46,390.33,4104.85,125.13,119303.56,290.68
