node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,100.00,1.00,18.49,328.66,9.75,1.00,210.56,35.24
0.00,0.50,0.00,0.00,1.00,100.00,1.00,22.23,369.67,10.95,1.00,166.06,20.07
0.00,0.50,0.00,0.00,10.00,99.00,1.00,6433.54,478.21,6426.28,195.02,172875.07,569.30
0.00,0.50,0.00,0.00,2.00,100.00,1.00,26.56,416.49,15.65,1.01,289.36,51.76
0.00,0.50,0.00,0.00,20.00,98.00,1.00,9320.09,476.04,9315.23,282.92,253964.43,829.34
0.00,0.50,0.00,0.00,3.00,100.00,1.00,128.41,444.89,117.00,3.86,2944.12,109.92
0.00,0.50,0.00,0.00,5.00,100.00,1.00,1817.06,452.66,1806.96,54.90,47880.27,263.63
0.00,0.50,0.00,0.00,50.00,93.00,0.98,13701.75,523.54,13698.75,416.85,378876.50,705.80
0.00,0.50,0.00,0.00,7.00,100.00,1.00,3772.89,462.11,3763.98,114.21,101934.40,429.48
0.00,0.50,1.00,0.00,0.00,100.00,1.00,17.70,328.66,9.07,1.00,210.56,35.24
0.00,0.50,1.00,0.00,1.00,100.00,1.00,20.40,336.10,9.91,1.00,159.13,18.94
0.00,0.50,1.00,0.00,10.00,100.00,1.00,709.54,365.20,700.79,21.69,18533.50,231.74
0.00,0.50,1.00,0.00,2.00,100.00,1.00,17.69,339.74,8.57,1.00,151.16,15.61
0.00,0.50,1.00,0.00,20.00,100.00,1.00,2171.39,366.15,2163.72,66.18,62878.44,269.84
0.00,0.50,1.00,0.00,3.00,100.00,1.00,20.35,343.38,10.45,1.00,176.95,28.91
0.00,0.50,1.00,0.00,5.00,100.00,1.00,22.65,351.46,13.18,1.00,277.08,82.95
0.00,0.50,1.00,0.00,50.00,100.00,1.00,2678.09,360.66,2671.31,81.68,78146.64,185.71
0.00,0.50,1.00,0.00,7.00,100.00,1.00,181.41,358.01,172.41,5.77,4720.48,138.36
0.00,0.50,1.00,1.00,0.00,100.00,1.00,17.91,334.19,8.71,1.00,191.39,31.22
0.00,0.50,1.00,1.00,1.00,100.00,1.00,17.80,338.25,8.40,1.00,154.55,19.00
0.00,0.50,1.00,1.00,10.00,100.00,1.00,856.80,358.63,848.24,26.17,23031.13,252.86
0.00,0.50,1.00,1.00,2.00,100.00,1.00,18.40,343.46,9.70,1.00,177.36,28.65
0.00,0.50,1.00,1.00,20.00,100.00,1.00,2290.52,361.07,2282.57,69.82,65937.83,263.93
0.00,0.50,1.00,1.00,3.00,100.00,1.00,20.50,347.17,11.56,1.00,223.10,50.32
0.00,0.50,1.00,1.00,5.00,100.00,1.00,46.94,354.83,37.83,1.71,983.66,109.95
0.00,0.50,1.00,1.00,50.00,100.00,1.00,2723.53,362.05,2716.71,83.08,79282.81,187.19
0.00,0.50,1.00,1.00,7.00,100.00,1.00,347.46,360.78,337.99,10.74,8826.86,176.04
0.00,0.50,1.00,10.00,0.00,100.00,1.00,728.19,360.67,719.44,22.26,18658.16,232.69
0.00,0.50,1.00,10.00,1.00,100.00,1.00,957.32,359.21,947.78,29.17,24452.61,251.11
0.00,0.50,1.00,10.00,10.00,100.00,1.00,2202.77,364.72,2195.33,67.15,64262.25,278.39
0.00,0.50,1.00,10.00,2.00,100.00,1.00,959.04,358.03,950.91,29.35,27718.53,276.54
0.00,0.50,1.00,10.00,20.00,100.00,1.00,2653.60,360.67,2646.62,80.97,78669.23,199.28
0.00,0.50,1.00,10.00,3.00,100.00,1.00,1410.52,359.29,1401.98,43.02,39281.94,288.69
0.00,0.50,1.00,10.00,5.00,100.00,1.00,1823.94,360.05,1815.89,55.61,54382.36,289.90
0.00,0.50,1.00,10.00,50.00,100.00,1.00,2677.48,360.66,2670.39,81.68,77188.89,183.92
0.00,0.50,1.00,10.00,7.00,100.00,1.00,2032.42,363.88,2024.35,61.95,59513.27,264.58
0.00,0.50,1.00,2.00,0.00,100.00,1.00,17.50,338.10,8.78,1.00,177.84,29.96
0.00,0.50,1.00,2.00,1.00,100.00,1.00,18.14,342.74,9.51,1.00,178.41,29.57
0.00,0.50,1.00,2.00,10.00,100.00,1.00,980.39,357.43,972.27,29.89,27689.46,275.52
0.00,0.50,1.00,2.00,2.00,100.00,1.00,19.55,347.17,10.68,1.00,223.19,49.78
0.00,0.50,1.00,2.00,20.00,100.00,1.00,2256.38,359.29,2249.10,68.81,65877.70,269.82
0.00,0.50,1.00,2.00,3.00,100.00,1.00,21.16,351.46,12.68,1.00,277.08,82.95
0.00,0.50,1.00,2.00,5.00,100.00,1.00,175.96,357.04,167.12,5.60,4524.93,141.88
0.00,0.50,1.00,2.00,50.00,100.00,1.00,2722.88,362.03,2715.85,83.05,77252.24,186.09
0.00,0.50,1.00,2.00,7.00,100.00,1.00,470.09,360.48,461.64,14.48,12601.06,211.99
0.00,0.50,1.00,20.00,0.00,100.00,1.00,2223.47,360.61,2215.24,67.68,59483.36,268.29
0.00,0.50,1.00,20.00,1.00,100.00,1.00,2274.91,359.98,2267.43,69.37,66350.00,276.36
0.00,0.50,1.00,20.00,10.00,100.00,1.00,2726.99,360.96,2719.92,83.17,78490.92,192.42
0.00,0.50,1.00,20.00,2.00,100.00,1.00,2299.50,363.18,2292.01,70.08,67057.16,263.90
0.00,0.50,1.00,20.00,20.00,100.00,1.00,2700.47,361.81,2693.42,82.33,77520.46,184.35
0.00,0.50,1.00,20.00,3.00,100.00,1.00,2205.90,358.40,2198.74,67.31,66291.77,277.65
0.00,0.50,1.00,20.00,5.00,100.00,1.00,2383.45,360.98,2376.26,72.69,71119.77,263.98
0.00,0.50,1.00,20.00,50.00,100.00,1.00,2677.79,360.66,2670.66,81.68,77951.93,183.96
0.00,0.50,1.00,20.00,7.00,100.00,1.00,2481.84,360.93,2474.90,75.70,74472.89,250.96
0.00,0.50,1.00,3.00,0.00,100.00,1.00,18.40,342.33,10.11,1.00,184.18,32.19
0.00,0.50,1.00,3.00,1.00,100.00,1.00,19.92,347.02,10.90,1.00,223.52,50.49
0.00,0.50,1.00,3.00,10.00,100.00,1.00,1252.35,358.88,1244.11,38.21,35858.75,288.51
0.00,0.50,1.00,3.00,2.00,100.00,1.00,21.76,351.46,12.98,1.00,277.10,82.55
0.00,0.50,1.00,3.00,20.00,100.00,1.00,2238.07,360.38,2230.57,68.25,64331.30,267.38
0.00,0.50,1.00,3.00,3.00,100.00,1.00,54.93,354.97,46.29,1.97,1266.88,112.87
0.00,0.50,1.00,3.00,5.00,100.00,1.00,363.87,361.18,354.26,11.20,8793.82,170.61
0.00,0.50,1.00,3.00,50.00,100.00,1.00,2703.67,361.78,2695.87,82.42,75983.70,186.39
0.00,0.50,1.00,3.00,7.00,100.00,1.00,692.53,360.84,683.82,21.20,18524.32,231.17
0.00,0.50,1.00,5.00,0.00,100.00,1.00,23.88,350.94,14.57,1.02,291.07,81.65
0.00,0.50,1.00,5.00,1.00,100.00,1.00,51.21,353.65,41.96,1.82,1095.74,106.01
0.00,0.50,1.00,5.00,10.00,100.00,1.00,1740.77,360.37,1732.68,53.09,48294.63,263.45
0.00,0.50,1.00,5.00,2.00,100.00,1.00,171.70,358.01,162.35,5.47,4532.69,136.18
0.00,0.50,1.00,5.00,20.00,100.00,1.00,2556.48,362.27,2549.25,77.89,68161.19,246.11
0.00,0.50,1.00,5.00,3.00,100.00,1.00,362.19,360.38,352.97,11.18,9081.89,173.14
