node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,77.00,0.90,3364.55,498.67,3353.33,106.77,130523.52,394.68
0.00,0.50,0.00,0.00,1.00,100.00,1.00,282.01,575.52,263.63,8.42,8115.61,59.02
0.00,0.50,0.00,0.00,10.00,97.00,0.98,19715.83,848.12,19708.75,597.81,555380.47,679.87
0.00,0.50,0.00,0.00,2.00,99.00,1.00,279.13,723.11,259.22,8.12,8371.10,108.70
0.00,0.50,0.00,0.00,20.00,91.00,0.97,22117.95,856.91,22112.79,671.96,632965.25,900.64
0.00,0.50,0.00,0.00,3.00,99.00,1.00,3838.49,767.75,3821.24,115.96,107302.50,261.57
0.00,0.50,0.00,0.00,5.00,98.00,0.99,12512.13,787.16,12500.67,379.38,342198.23,515.85
0.00,0.50,0.00,0.00,50.00,85.00,0.97,22942.03,866.94,22937.01,698.26,657917.51,922.11
0.00,0.50,0.00,0.00,7.00,97.00,0.98,15966.29,804.63,15957.74,484.31,449091.83,636.12
0.00,0.50,1.00,0.00,0.00,77.00,0.90,3390.88,499.65,3379.29,107.63,131791.81,405.99
0.00,0.50,1.00,0.00,1.00,100.00,1.00,193.69,510.70,177.66,5.86,5682.30,96.01
0.00,0.50,1.00,0.00,10.00,98.00,0.99,1877.79,553.00,1865.07,57.24,62017.20,425.85
0.00,0.50,1.00,0.00,2.00,99.00,0.99,105.09,516.45,91.00,3.34,2851.42,95.75
0.00,0.50,1.00,0.00,20.00,97.00,0.99,2782.28,558.13,2769.70,84.87,87841.90,376.39
0.00,0.50,1.00,0.00,3.00,99.00,1.00,158.39,525.60,142.02,4.81,4185.66,142.79
0.00,0.50,1.00,0.00,5.00,99.00,0.99,455.44,546.77,442.21,13.92,14513.38,218.12
0.00,0.50,1.00,0.00,50.00,96.00,0.98,2787.93,556.09,2775.44,85.06,88452.75,369.34
0.00,0.50,1.00,0.00,7.00,99.00,0.99,1083.15,550.60,1069.69,32.97,33646.91,333.12
0.00,0.50,1.00,1.00,0.00,86.00,0.95,2747.96,504.34,2735.13,86.27,105574.92,326.49
0.00,0.50,1.00,1.00,1.00,100.00,1.00,209.15,513.43,194.78,6.44,6606.65,76.51
0.00,0.50,1.00,1.00,10.00,98.00,0.99,2236.81,555.79,2223.81,68.08,73048.84,449.24
0.00,0.50,1.00,1.00,2.00,99.00,0.99,144.12,529.92,129.80,4.50,4358.46,126.53
0.00,0.50,1.00,1.00,20.00,97.00,0.99,2736.69,561.18,2724.19,83.51,90899.63,395.31
0.00,0.50,1.00,1.00,3.00,99.00,1.00,172.91,543.14,158.20,5.29,5118.87,164.63
0.00,0.50,1.00,1.00,5.00,99.00,0.99,796.61,549.74,781.60,24.20,24898.68,295.46
0.00,0.50,1.00,1.00,50.00,96.00,0.98,2793.01,557.06,2780.65,85.25,91403.78,387.55
0.00,0.50,1.00,1.00,7.00,99.00,0.99,1323.82,554.59,1310.52,40.25,42335.62,369.20
0.00,0.50,1.00,10.00,0.00,97.00,0.99,2052.66,554.52,2039.55,62.72,64385.86,421.72
0.00,0.50,1.00,10.00,1.00,98.00,0.99,2208.21,553.32,2195.18,67.26,69398.41,406.51
0.00,0.50,1.00,10.00,10.00,97.00,0.99,2750.84,558.41,2738.73,83.95,91685.94,393.48
0.00,0.50,1.00,10.00,2.00,98.00,0.99,2353.46,560.19,2339.77,71.68,73583.88,395.81
0.00,0.50,1.00,10.00,20.00,96.00,0.98,2822.98,555.20,2811.02,86.17,89226.40,362.50
0.00,0.50,1.00,10.00,3.00,98.00,0.99,2470.31,561.32,2456.86,75.19,76158.85,386.87
0.00,0.50,1.00,10.00,5.00,98.00,0.99,2534.71,561.77,2522.20,77.23,85525.73,415.66
0.00,0.50,1.00,10.00,50.00,96.00,0.98,2820.66,555.35,2808.15,86.08,88654.11,350.03
0.00,0.50,1.00,10.00,7.00,97.00,0.99,2691.84,560.06,2679.66,82.16,87787.40,395.62
0.00,0.50,1.00,2.00,0.00,97.00,0.99,804.75,506.51,792.05,25.15,31232.59,207.31
0.00,0.50,1.00,2.00,1.00,99.00,1.00,242.17,528.68,227.94,7.50,7514.08,103.30
0.00,0.50,1.00,2.00,10.00,98.00,0.99,2308.59,558.41,2295.18,70.26,70703.04,407.03
0.00,0.50,1.00,2.00,2.00,99.00,0.99,164.70,541.25,150.72,5.06,5125.25,151.73
0.00,0.50,1.00,2.00,20.00,97.00,0.99,2821.59,558.94,2809.48,86.08,89107.72,357.95
0.00,0.50,1.00,2.00,3.00,99.00,1.00,426.55,546.63,412.69,13.04,13457.53,203.95
0.00,0.50,1.00,2.00,5.00,99.00,0.99,903.32,551.33,889.56,27.51,29314.22,339.78
0.00,0.50,1.00,2.00,50.00,96.00,0.98,2818.46,555.14,2806.07,86.05,90191.03,363.21
0.00,0.50,1.00,2.00,7.00,99.00,0.99,1469.80,551.37,1457.00,44.69,47165.99,389.42
0.00,0.50,1.00,20.00,0.00,97.00,0.99,2728.00,556.22,2715.07,83.21,84382.99,366.20
0.00,0.50,1.00,20.00,1.00,96.00,0.98,2688.75,552.64,2676.62,82.22,88610.53,393.02
0.00,0.50,1.00,20.00,10.00,96.00,0.98,2765.51,556.48,2753.47,84.39,88742.03,367.32
0.00,0.50,1.00,20.00,2.00,97.00,0.99,2798.79,560.03,2786.45,85.40,88887.65,363.48
0.00,0.50,1.00,20.00,20.00,96.00,0.98,2790.71,556.55,2778.13,85.12,87334.56,365.26
0.00,0.50,1.00,20.00,3.00,97.00,0.99,2769.99,559.58,2758.14,84.54,91447.53,392.44
0.00,0.50,1.00,20.00,5.00,97.00,0.99,2762.25,562.79,2749.96,84.30,91353.74,371.13
0.00,0.50,1.00,20.00,50.00,96.00,0.98,2779.28,556.38,2766.97,84.83,91032.65,383.72
0.00,0.50,1.00,20.00,7.00,96.00,0.98,2792.73,555.94,2780.33,85.25,91780.10,387.85
0.00,0.50,1.00,3.00,0.00,99.00,1.00,637.55,525.27,624.22,19.62,25276.47,163.90
0.00,0.50,1.00,3.00,1.00,99.00,1.00,240.43,542.93,226.48,7.39,7809.90,133.56
0.00,0.50,1.00,3.00,10.00,98.00,0.99,2411.46,560.74,2398.40,73.44,77702.77,419.54
0.00,0.50,1.00,3.00,2.00,99.00,0.99,336.39,546.26,322.37,10.25,10727.72,197.94
0.00,0.50,1.00,3.00,20.00,97.00,0.99,2795.84,558.36,2783.57,85.32,90099.12,369.20
0.00,0.50,1.00,3.00,3.00,99.00,1.00,1069.56,548.06,1053.45,32.44,30797.16,280.86
0.00,0.50,1.00,3.00,5.00,99.00,0.99,1392.23,551.27,1377.91,42.22,43966.04,367.93
0.00,0.50,1.00,3.00,50.00,96.00,0.98,2830.82,556.35,2818.67,86.38,90538.01,374.48
0.00,0.50,1.00,3.00,7.00,98.00,0.99,1964.68,553.23,1951.79,59.84,64194.40,434.56
0.00,0.50,1.00,5.00,0.00,99.00,1.00,360.93,541.07,345.64,10.97,12702.12,182.07
0.00,0.50,1.00,5.00,1.00,99.00,1.00,556.71,551.83,541.56,16.88,17429.34,267.23
0.00,0.50,1.00,5.00,10.00,98.00,0.99,2577.02,560.20,2564.13,78.47,78707.16,374.12
0.00,0.50,1.00,5.00,2.00,99.00,0.99,896.50,549.67,882.58,27.28,29484.83,331.00
0.00,0.50,1.00,5.00,20.00,97.00,0.99,2865.56,561.09,2852.81,87.43,89359.46,384.28
0.00,0.50,1.00,5.00,3.00,99.00,1.00,1453.45,553.02,1438.28,44.09,42610.84,354.86
0.00,0.50,1.00,5.00,5.00,98.00,0.99,1837.46,550.92,1824.45,55.99,59740.52,425.35
0.00,0.50,1.00,5.00,50.00,96.00,0.98,2742.10,556.47,2729.91,83.72,88434.29,367.38
0.00,0.50,1.00,5.00,7.00,98.00,0.99,2408.77,561.84,2395.82,73.36,74560.46,381.81
0.00,0.50,1.00,50.00,0.00,96.00,0.98,2812.27,554.85,2799.26,85.79,87735.55,344.28
0.00,0.50,1.00,50.00,1.00,96.00,0.98,2776.64,557.00,2762.77,84.61,84131.84,346.40
0.00,0.50,1.00,50.00,10.00,96.00,0.98,2812.50,555.17,2799.53,85.84,86088.21,351.34
0.00,0.50,1.00,50.00,2.00,96.00,0.98,2820.97,555.30,2808.41,86.09,90283.61,375.55
0.00,0.50,1.00,50.00,20.00,96.00,0.98,2774.81,555.69,2763.25,84.69,90204.32,383.94
0.00,0.50,1.00,50.00,3.00,96.00,0.98,2821.77,555.87,2810.39,86.15,90960.77,376.30
0.00,0.50,1.00,50.00,5.00,96.00,0.98,2754.89,554.15,2743.11,84.13,89851.66,387.97
0.00,0.50,1.00,50.00,50.00,96.00,0.98,2787.60,557.14,2776.09,85.12,90591.95,372.25
0.00,0.50,1.00,50.00,7.00,96.00,0.98,2761.24,557.12,2749.32,84.29,90617.35,393.75
0.00,0.50,10.00,0.00,0.00,78.00,0.91,3441.90,505.24,3431.53,109.01,135549.02,408.55
0.00,0.50,10.00,0.00,1.00,77.00,0.90,3449.51,500.69,3439.96,109.45,133916.13,409.77
0.00,0.50,10.00,0.00,10.00,79.00,0.92,3475.09,510.50,3465.45,109.98,130798.07,399.58
0.00,0.50,10.00,0.00,2.00,79.00,0.92,3537.61,511.50,3527.98,111.83,137661.93,401.75
0.00,0.50,10.00,0.00,20.00,78.00,0.91,3454.18,504.19,3444.19,109.60,130278.76,391.77
0.00,0.50,10.00,0.00,3.00,79.00,0.92,3619.88,513.81,3610.15,114.36,140486.84,394.22
0.00,0.50,10.00,0.00,5.00,80.00,0.91,3370.17,507.95,3360.72,106.50,127851.97,394.57
0.00,0.50,10.00,0.00,50.00,81.00,0.93,3500.98,517.20,3490.92,110.46,134232.01,406.00
0.00,0.50,10.00,0.00,7.00,78.00,0.90,3337.31,501.41,3327.66,105.82,125436.90,389.03
0.00,0.50,10.00,1.00,0.00,77.00,0.90,3455.37,501.33,3445.40,109.66,137227.30,423.13
0.00,0.50,10.00,1.00,1.00,77.00,0.91,3494.19,502.59,3484.45,110.90,137301.51,400.26
0.00,0.50,10.00,1.00,10.00,80.00,0.93,3445.82,513.52,3435.96,108.91,131107.56,396.77
0.00,0.50,10.00,1.00,2.00,79.00,0.92,3584.03,510.27,3574.28,113.35,138677.22,400.72
0.00,0.50,10.00,1.00,20.00,80.00,0.92,3504.36,511.32,3494.65,110.71,134561.13,390.46
0.00,0.50,10.00,1.00,3.00,79.00,0.92,3550.33,512.12,3540.44,112.22,135549.07,385.29
0.00,0.50,10.00,1.00,5.00,80.00,0.91,3427.29,509.10,3417.89,108.23,131269.87,403.14
0.00,0.50,10.00,1.00,50.00,80.00,0.92,3502.77,512.77,3492.87,110.69,134441.61,396.68
0.00,0.50,10.00,1.00,7.00,78.00,0.91,3447.53,504.91,3438.08,109.35,131040.50,386.78
0.00,0.50,10.00,10.00,0.00,77.00,0.90,3812.58,491.62,3791.37,119.59,83767.81,293.77
0.00,0.50,10.00,10.00,1.00,77.00,0.90,3772.20,493.21,3752.30,118.39,83711.62,295.45
0.00,0.50,10.00,10.00,10.00,77.00,0.90,3752.45,494.20,3733.42,117.88,81819.48,297.85
0.00,0.50,10.00,10.00,2.00,77.00,0.90,3723.15,492.22,3704.53,117.01,85358.24,299.36
0.00,0.50,10.00,10.00,20.00,77.00,0.90,3701.16,491.12,3681.48,116.18,80001.08,288.34
0.00,0.50,10.00,10.00,3.00,77.00,0.90,3706.08,491.38,3687.41,116.50,83616.54,299.09
0.00,0.50,10.00,10.00,5.00,77.00,0.90,3755.32,492.34,3734.04,117.73,83217.72,285.78
0.00,0.50,10.00,10.00,50.00,77.00,0.90,3693.18,492.13,3673.29,116.02,80373.74,292.67
0.00,0.50,10.00,10.00,7.00,77.00,0.90,3667.73,490.07,3648.28,115.19,82075.44,285.91
0.00,0.50,10.00,2.00,0.00,77.00,0.90,3820.18,489.51,3800.08,119.81,88332.14,295.65
0.00,0.50,10.00,2.00,1.00,77.00,0.90,3722.37,489.05,3700.61,116.76,85524.57,305.01
0.00,0.50,10.00,2.00,10.00,77.00,0.89,3701.33,491.26,3681.24,116.14,83992.72,292.75
0.00,0.50,10.00,2.00,2.00,77.00,0.90,3664.41,491.37,3645.02,115.10,85264.56,278.48
0.00,0.50,10.00,2.00,20.00,77.00,0.90,3668.64,493.19,3650.90,115.40,83864.40,300.94
0.00,0.50,10.00,2.00,3.00,77.00,0.91,3852.55,496.14,3833.88,121.02,86850.70,289.83
0.00,0.50,10.00,2.00,5.00,77.00,0.90,3693.71,492.60,3675.00,116.14,83109.96,297.57
0.00,0.50,10.00,2.00,50.00,77.00,0.90,3731.46,491.49,3710.91,117.15,83748.06,303.57
0.00,0.50,10.00,2.00,7.00,77.00,0.90,3634.74,491.60,3614.77,114.26,84226.74,300.37
0.00,0.50,10.00,20.00,0.00,77.00,0.90,3763.14,493.41,3743.22,118.08,84894.60,299.30
0.00,0.50,10.00,20.00,1.00,77.00,0.90,3716.20,490.20,3696.45,116.70,84195.63,297.01
0.00,0.50,10.00,20.00,10.00,77.00,0.90,3792.66,492.42,3772.65,119.01,85806.96,301.38
0.00,0.50,10.00,20.00,2.00,77.00,0.90,3720.93,492.79,3701.84,116.92,86552.18,290.75
0.00,0.50,10.00,20.00,20.00,77.00,0.90,3725.44,494.08,3706.15,117.04,83881.56,293.84
0.00,0.50,10.00,20.00,3.00,77.00,0.90,3708.30,490.52,3687.47,116.47,84179.22,288.93
0.00,0.50,10.00,20.00,5.00,77.00,0.90,3672.54,493.13,3654.01,115.52,82606.52,297.49
0.00,0.50,10.00,20.00,50.00,77.00,0.90,3700.95,491.98,3682.00,116.32,84638.21,294.03
0.00,0.50,10.00,20.00,7.00,77.00,0.91,3748.73,494.41,3730.12,117.94,88236.21,307.52
0.00,0.50,10.00,3.00,0.00,77.00,0.90,3755.93,488.91,3736.23,117.92,84636.18,300.38
0.00,0.50,10.00,3.00,1.00,77.00,0.90,3691.40,490.52,3670.32,115.78,84546.59,287.37
0.00,0.50,10.00,3.00,10.00,77.00,0.90,3713.53,492.44,3693.43,116.66,85498.07,303.25
0.00,0.50,10.00,3.00,2.00,77.00,0.90,3734.11,494.24,3715.57,117.29,88247.02,295.01
0.00,0.50,10.00,3.00,20.00,77.00,0.90,3629.97,491.24,3610.28,114.08,82273.08,301.26
0.00,0.50,10.00,3.00,3.00,77.00,0.91,3758.80,495.82,3739.80,118.12,85367.85,287.05
0.00,0.50,10.00,3.00,5.00,77.00,0.90,3687.61,491.83,3667.13,115.81,83450.09,294.69
0.00,0.50,10.00,3.00,50.00,77.00,0.90,3705.86,491.76,3684.72,116.43,83513.89,285.73
0.00,0.50,10.00,3.00,7.00,77.00,0.90,3622.47,493.77,3602.45,113.73,84488.99,293.66
0.00,0.50,10.00,5.00,0.00,77.00,0.90,3737.99,489.73,3716.79,117.37,84308.40,290.60
0.00,0.50,10.00,5.00,1.00,77.00,0.90,3706.15,489.76,3684.90,116.29,81678.60,271.36
0.00,0.50,10.00,5.00,10.00,77.00,0.90,3758.08,491.72,3738.55,117.98,83506.19,289.87
0.00,0.50,10.00,5.00,2.00,77.00,0.90,3723.14,490.28,3702.52,116.96,84680.46,290.61
0.00,0.50,10.00,5.00,20.00,77.00,0.90,3672.21,489.85,3653.00,115.42,80421.97,291.21
0.00,0.50,10.00,5.00,3.00,77.00,0.90,3676.19,492.34,3656.80,115.54,81684.24,288.55
0.00,0.50,10.00,5.00,5.00,77.00,0.90,3745.95,489.09,3723.83,117.41,83281.69,294.88
0.00,0.50,10.00,5.00,50.00,77.00,0.90,3794.26,491.57,3775.89,119.21,83079.11,291.73
0.00,0.50,10.00,5.00,7.00,77.00,0.90,3717.07,492.58,3698.02,116.80,84891.46,291.30
0.00,0.50,10.00,50.00,0.00,77.00,0.90,3699.10,493.59,3678.62,116.10,83482.41,290.55
0.00,0.50,10.00,50.00,1.00,77.00,0.90,3704.90,491.75,3685.34,116.45,84077.66,291.34
0.00,0.50,10.00,50.00,10.00,77.00,0.90,3691.64,490.16,3673.19,116.03,84235.90,297.96
0.00,0.50,10.00,50.00,2.00,77.00,0.90,3587.64,493.14,3569.79,112.95,85667.61,302.41
0.00,0.50,10.00,50.00,20.00,77.00,0.90,3728.06,491.36,3709.06,117.11,84206.13,296.96
0.00,0.50,10.00,50.00,3.00,77.00,0.90,3724.27,493.44,3703.98,117.03,85410.41,295.32
0.00,0.50,10.00,50.00,5.00,77.00,0.90,3647.76,491.17,3628.31,114.70,82200.06,289.69
0.00,0.50,10.00,50.00,50.00,77.00,0.90,3697.14,492.04,3677.20,116.17,83646.39,295.93
0.00,0.50,10.00,50.00,7.00,77.00,0.90,3665.57,493.05,3648.26,115.32,86558.86,306.90
0.00,0.50,15.00,0.00,0.00,77.00,0.90,3803.62,488.81,3783.12,119.32,86866.53,302.89
0.00,0.50,15.00,0.00,1.00,77.00,0.90,3783.12,490.34,3763.33,118.66,86706.39,306.80
0.00,0.50,15.00,0.00,10.00,77.00,0.90,3834.73,488.39,3815.73,120.37,88284.50,297.95
0.00,0.50,15.00,0.00,2.00,77.00,0.90,3725.29,491.65,3707.49,117.09,89371.54,315.51
0.00,0.50,15.00,0.00,20.00,77.00,0.90,3773.71,490.66,3754.92,118.50,84604.54,299.12
0.00,0.50,15.00,0.00,3.00,77.00,0.90,3783.71,492.21,3764.79,118.76,87753.49,300.07
0.00,0.50,15.00,0.00,5.00,77.00,0.90,3847.99,488.10,3828.37,120.66,87521.45,306.21
0.00,0.50,15.00,0.00,50.00,77.00,0.90,3874.04,489.75,3852.70,121.31,86736.78,291.84
0.00,0.50,15.00,0.00,7.00,77.00,0.90,3704.02,490.72,3686.32,116.40,88863.42,301.89
0.00,0.50,15.00,1.00,0.00,77.00,0.90,3882.53,491.91,3862.93,121.76,90295.68,307.77
0.00,0.50,15.00,1.00,1.00,77.00,0.90,3787.43,489.48,3767.81,118.85,88301.71,308.01
0.00,0.50,15.00,1.00,10.00,77.00,0.90,3776.63,491.46,3757.67,118.64,89234.47,307.56
0.00,0.50,15.00,1.00,2.00,77.00,0.90,3738.75,492.23,3721.01,117.52,91662.26,303.50
0.00,0.50,15.00,1.00,20.00,77.00,0.90,3801.49,491.03,3782.40,119.26,88676.37,308.65
0.00,0.50,15.00,1.00,3.00,77.00,0.90,3765.13,491.08,3746.13,118.20,88759.36,302.34
0.00,0.50,15.00,1.00,5.00,77.00,0.90,3738.80,489.33,3719.87,117.38,86629.82,304.12
0.00,0.50,15.00,1.00,50.00,77.00,0.90,3897.83,489.01,3879.45,122.31,90634.26,310.12
0.00,0.50,15.00,1.00,7.00,77.00,0.90,3761.99,491.79,3744.42,118.19,90828.83,326.67
