node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,97.00,1.00,1593.32,546.40,1578.95,49.22,60594.05,187.90
0.00,0.50,0.00,0.00,1.00,99.00,1.00,650.64,675.84,628.99,19.64,19649.91,65.65
0.00,0.50,0.00,0.00,10.00,99.00,1.00,15434.58,860.05,15424.27,467.82,451534.50,669.28
0.00,0.50,0.00,0.00,2.00,99.00,1.00,1248.38,819.38,1228.81,37.63,41045.55,107.37
0.00,0.50,0.00,0.00,20.00,94.00,1.00,19781.02,879.53,19773.17,600.90,573646.85,859.69
0.00,0.50,0.00,0.00,3.00,99.00,1.00,1536.56,858.01,1515.86,46.25,47872.21,166.88
0.00,0.50,0.00,0.00,5.00,99.00,1.00,7071.34,857.82,7054.83,214.05,203105.27,338.12
0.00,0.50,0.00,0.00,50.00,88.00,0.99,22576.30,903.58,22570.00,686.86,657216.76,936.92
0.00,0.50,0.00,0.00,7.00,98.00,1.00,11528.94,869.89,11515.78,349.42,334544.53,564.99
0.00,0.50,1.00,0.00,0.00,97.00,1.00,1552.62,546.28,1539.69,48.02,59776.84,185.13
0.00,0.50,1.00,0.00,1.00,99.00,1.00,862.76,550.34,848.13,26.56,30199.86,93.44
0.00,0.50,1.00,0.00,10.00,99.00,1.00,1079.73,698.51,1062.96,32.86,38268.72,227.02
0.00,0.50,1.00,0.00,2.00,99.00,1.00,1010.79,614.97,996.22,31.03,35302.87,102.63
0.00,0.50,1.00,0.00,20.00,100.00,1.00,1300.43,696.35,1282.53,39.30,41258.01,241.48
0.00,0.50,1.00,0.00,3.00,99.00,1.00,1061.73,655.42,1044.58,32.36,33839.64,139.14
0.00,0.50,1.00,0.00,5.00,98.00,1.00,958.39,687.91,941.93,29.25,33693.16,201.29
0.00,0.50,1.00,0.00,50.00,99.00,1.00,1219.72,699.11,1202.64,37.16,42069.34,230.57
0.00,0.50,1.00,0.00,7.00,99.00,1.00,1038.62,693.03,1021.98,31.63,36735.49,223.44
0.00,0.50,1.00,1.00,0.00,97.00,1.00,1395.51,562.15,1380.00,43.19,54264.23,177.03
0.00,0.50,1.00,1.00,1.00,100.00,1.00,697.34,612.46,682.06,21.21,25759.04,78.40
0.00,0.50,1.00,1.00,10.00,99.00,1.00,1111.29,698.43,1094.59,33.83,39675.64,240.01
0.00,0.50,1.00,1.00,2.00,99.00,1.00,1234.49,654.10,1214.23,37.45,38589.11,119.79
