node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,93.00,0.99,2896.62,660.17,2881.64,88.96,110636.02,253.77
0.00,0.50,0.00,0.00,1.00,97.00,1.00,2114.45,677.85,2096.93,64.53,72925.14,136.47
0.00,0.50,0.00,0.00,10.00,96.00,1.00,17171.00,876.07,17161.41,520.32,508839.31,570.21
0.00,0.50,0.00,0.00,2.00,98.00,1.00,2175.51,827.52,2156.16,65.87,70553.65,168.10
0.00,0.50,0.00,0.00,20.00,97.00,1.00,20551.56,892.66,20543.76,621.65,605153.20,805.33
0.00,0.50,0.00,0.00,3.00,98.00,1.00,3401.48,867.09,3382.16,102.83,103219.07,223.74
0.00,0.50,0.00,0.00,5.00,98.00,1.00,10105.04,866.25,10090.05,306.09,289929.53,405.72
0.00,0.50,0.00,0.00,50.00,90.00,0.99,22790.28,908.54,22783.45,691.28,622779.91,846.94
0.00,0.50,0.00,0.00,7.00,99.00,1.00,13865.55,864.84,13853.93,419.11,406116.72,508.02
0.00,0.50,1.00,0.00,0.00,93.00,0.99,2921.17,660.95,2906.34,89.74,113496.25,252.86
0.00,0.50,1.00,0.00,1.00,96.00,1.00,1659.81,562.14,1646.57,51.30,60469.23,156.52
0.00,0.50,1.00,0.00,10.00,100.00,1.00,1305.21,608.44,1290.72,39.52,45384.36,266.78
0.00,0.50,1.00,0.00,2.00,98.00,1.00,1094.39,580.40,1080.68,33.64,40276.71,156.47
0.00,0.50,1.00,0.00,20.00,100.00,1.00,1556.82,609.59,1542.56,47.13,53862.46,240.83
0.00,0.50,1.00,0.00,3.00,100.00,1.00,1293.08,596.37,1278.87,39.24,45207.61,188.97
0.00,0.50,1.00,0.00,5.00,100.00,1.00,1217.99,614.50,1204.04,36.91,43670.51,211.64
0.00,0.50,1.00,0.00,50.00,100.00,1.00,1543.57,611.02,1529.42,46.73,53481.04,244.31
0.00,0.50,1.00,0.00,7.00,100.00,1.00,1210.14,611.28,1195.82,36.66,41751.61,234.92
0.00,0.50,1.00,1.00,0.00,93.00,0.99,2078.09,597.62,2063.02,64.32,81024.52,225.63
0.00,0.50,1.00,1.00,1.00,96.00,1.00,1590.74,576.87,1576.55,49.10,56640.10,143.99
0.00,0.50,1.00,1.00,10.00,100.00,1.00,1427.74,609.90,1412.76,43.23,51374.51,289.76
0.00,0.50,1.00,1.00,2.00,99.00,1.00,1353.44,595.17,1336.67,41.11,43648.90,180.35
0.00,0.50,1.00,1.00,20.00,100.00,1.00,1520.05,611.41,1505.45,45.98,54137.94,246.01
0.00,0.50,1.00,1.00,3.00,100.00,1.00,1186.38,606.53,1172.24,36.00,42558.48,206.01
0.00,0.50,1.00,1.00,5.00,100.00,1.00,1246.09,613.85,1230.83,37.71,42621.74,220.37
0.00,0.50,1.00,1.00,50.00,100.00,1.00,1563.28,610.23,1548.67,47.31,54656.99,242.29
0.00,0.50,1.00,1.00,7.00,100.00,1.00,1225.28,610.98,1210.72,37.06,41616.13,244.19
0.00,0.50,1.00,10.00,0.00,100.00,1.00,1233.28,611.87,1218.22,37.32,44334.29,281.80
0.00,0.50,1.00,10.00,1.00,100.00,1.00,1476.98,612.80,1462.15,44.69,50934.23,267.76
0.00,0.50,1.00,10.00,10.00,100.00,1.00,1454.92,610.99,1440.71,44.06,53611.64,245.64
0.00,0.50,1.00,10.00,2.00,100.00,1.00,1426.99,611.00,1411.81,43.12,48612.94,266.09
0.00,0.50,1.00,10.00,20.00,100.00,1.00,1562.21,610.98,1547.63,47.29,55427.82,247.55
0.00,0.50,1.00,10.00,3.00,100.00,1.00,1417.57,611.35,1403.38,42.92,51093.91,256.02
0.00,0.50,1.00,10.00,5.00,100.00,1.00,1489.10,611.45,1474.81,45.09,53841.08,256.33
0.00,0.50,1.00,10.00,50.00,100.00,1.00,1442.57,610.89,1428.71,43.69,52335.79,249.32
0.00,0.50,1.00,10.00,7.00,100.00,1.00,1583.35,612.65,1568.80,47.91,54896.61,243.60
0.00,0.50,1.00,2.00,0.00,95.00,1.00,1959.23,591.96,1944.88,60.35,74597.79,182.21
0.00,0.50,1.00,2.00,1.00,98.00,1.00,1709.72,593.90,1695.09,52.23,58241.30,150.29
0.00,0.50,1.00,2.00,10.00,100.00,1.00,1472.91,612.23,1458.48,44.58,52074.30,255.06
0.00,0.50,1.00,2.00,2.00,100.00,1.00,1220.13,605.75,1204.86,36.98,42046.99,193.73
0.00,0.50,1.00,2.00,20.00,100.00,1.00,1540.79,609.59,1526.67,46.67,54370.31,252.08
0.00,0.50,1.00,2.00,3.00,100.00,1.00,1324.63,609.76,1307.86,39.95,42859.24,204.85
0.00,0.50,1.00,2.00,5.00,100.00,1.00,1301.43,609.68,1285.18,39.36,42679.56,225.34
0.00,0.50,1.00,2.00,50.00,100.00,1.00,1615.57,610.93,1600.66,48.91,55208.55,245.63
0.00,0.50,1.00,2.00,7.00,100.00,1.00,1228.54,611.14,1214.27,37.18,42905.13,259.13
0.00,0.50,1.00,20.00,0.00,100.00,1.00,1558.47,610.65,1543.53,47.16,54887.17,239.82
0.00,0.50,1.00,20.00,1.00,100.00,1.00,1631.85,610.24,1616.29,49.34,55221.25,238.62
0.00,0.50,1.00,20.00,10.00,100.00,1.00,1536.73,610.50,1523.10,46.54,55161.95,246.96
0.00,0.50,1.00,20.00,2.00,100.00,1.00,1561.26,612.80,1546.87,47.28,55180.99,246.65
0.00,0.50,1.00,20.00,20.00,100.00,1.00,1469.39,611.11,1454.67,44.48,52371.65,244.81
0.00,0.50,1.00,20.00,3.00,100.00,1.00,1598.91,612.77,1584.65,48.45,56521.31,251.00
0.00,0.50,1.00,20.00,5.00,100.00,1.00,1536.27,610.64,1522.21,46.55,56472.74,247.57
0.00,0.50,1.00,20.00,50.00,100.00,1.00,1555.80,610.88,1541.59,47.13,55930.83,246.37
0.00,0.50,1.00,20.00,7.00,100.00,1.00,1536.54,610.83,1522.34,46.54,55868.47,248.53
0.00,0.50,1.00,3.00,0.00,96.00,1.00,1923.12,590.23,1908.86,59.10,69289.73,158.01
0.00,0.50,1.00,3.00,1.00,99.00,1.00,1343.38,603.10,1328.22,40.90,46127.68,162.89
0.00,0.50,1.00,3.00,10.00,100.00,1.00,1443.58,611.90,1428.95,43.68,50575.19,247.89
0.00,0.50,1.00,3.00,2.00,100.00,1.00,1125.28,611.62,1110.54,34.04,39557.62,212.53
0.00,0.50,1.00,3.00,20.00,100.00,1.00,1599.07,613.45,1584.20,48.41,55753.79,246.21
