node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.00,0.50,0.00,0.00,0.00,95.00,0.99,2111.45,637.34,2093.92,65.03,77947.16,223.32
0.00,0.50,0.00,0.00,1.00,100.00,1.00,143.14,649.82,126.17,4.27,4065.90,57.74
0.00,0.50,0.00,0.00,10.00,99.00,1.00,14370.33,832.91,14360.00,435.03,420975.92,536.25
0.00,0.50,0.00,0.00,2.00,100.00,1.00,649.07,798.22,627.10,17.18,29491.99,93.45
0.00,0.50,0.00,0.00,20.00,97.00,1.00,18278.77,859.25,18270.78,554.08,533785.13,756.22
0.00,0.50,0.00,0.00,3.00,100.00,1.00,1594.13,817.14,1574.37,47.58,43762.07,147.65
0.00,0.50,0.00,0.00,5.00,100.00,1.00,8404.06,837.73,8389.13,254.01,236428.63,334.61
0.00,0.50,0.00,0.00,50.00,95.00,1.00,20465.27,862.49,20457.31,619.41,550456.27,823.51
0.00,0.50,0.00,0.00,7.00,100.00,1.00,11406.32,827.14,11393.72,345.17,329020.98,449.31
0.00,0.50,1.00,0.00,0.00,95.00,0.99,2023.22,636.07,2008.95,62.39,76592.94,222.99
0.00,0.50,1.00,0.00,1.00,99.00,1.00,689.14,545.87,674.20,21.15,23976.18,95.22
0.00,0.50,1.00,0.00,10.00,100.00,1.00,669.49,589.64,654.19,20.28,22363.89,236.15
0.00,0.50,1.00,0.00,2.00,100.00,1.00,495.73,566.70,481.66,15.11,17270.37,91.09
0.00,0.50,1.00,0.00,20.00,100.00,1.00,872.63,591.60,858.34,26.49,30855.36,201.27
0.00,0.50,1.00,0.00,3.00,100.00,1.00,231.25,580.11,216.17,7.06,7096.67,120.10
0.00,0.50,1.00,0.00,5.00,100.00,1.00,214.32,587.54,199.85,6.52,7120.17,174.81
0.00,0.50,1.00,0.00,50.00,100.00,1.00,875.86,591.36,861.95,26.58,30752.34,201.21
0.00,0.50,1.00,0.00,7.00,100.00,1.00,264.86,592.88,250.89,8.00,9085.99,231.38
0.00,0.50,1.00,1.00,0.00,97.00,1.00,1174.59,573.39,1160.72,36.22,43947.74,147.73
0.00,0.50,1.00,1.00,1.00,100.00,1.00,705.63,563.60,691.27,21.53,26151.21,91.08
0.00,0.50,1.00,1.00,10.00,100.00,1.00,597.64,592.48,582.96,18.12,20864.16,238.08
0.00,0.50,1.00,1.00,2.00,100.00,1.00,106.36,579.45,91.45,3.27,3248.06,107.33
0.00,0.50,1.00,1.00,20.00,100.00,1.00,881.20,592.21,866.60,26.74,31702.44,200.16
0.00,0.50,1.00,1.00,3.00,100.00,1.00,197.67,583.42,183.62,6.05,6583.01,137.72
0.00,0.50,1.00,1.00,5.00,100.00,1.00,219.55,588.77,204.51,6.61,6957.00,196.21
0.00,0.50,1.00,1.00,50.00,100.00,1.00,916.47,591.31,900.89,27.77,30719.96,204.27
0.00,0.50,1.00,1.00,7.00,100.00,1.00,387.45,592.57,372.33,11.68,12852.01,231.58
0.00,0.50,1.00,10.00,0.00,100.00,1.00,289.16,590.44,274.56,8.70,9721.08,223.22
0.00,0.50,1.00,10.00,1.00,100.00,1.00,527.59,591.41,512.80,16.00,18266.40,218.49
0.00,0.50,1.00,10.00,10.00,100.00,1.00,857.24,593.53,843.14,26.04,31130.94,208.35
0.00,0.50,1.00,10.00,2.00,100.00,1.00,549.45,593.92,534.51,16.64,19463.77,219.46
0.00,0.50,1.00,10.00,20.00,100.00,1.00,856.81,592.64,842.50,26.00,31044.46,201.00
0.00,0.50,1.00,10.00,3.00,100.00,1.00,750.68,593.40,736.23,22.78,26882.49,225.11
0.00,0.50,1.00,10.00,5.00,100.00,1.00,859.77,589.43,845.44,26.09,30441.68,241.88
0.00,0.50,1.00,10.00,50.00,100.00,1.00,873.98,591.01,859.90,26.53,31681.50,201.66
0.00,0.50,1.00,10.00,7.00,100.00,1.00,876.38,593.87,862.42,26.61,32327.19,227.48
0.00,0.50,1.00,2.00,0.00,98.00,1.00,719.24,576.73,704.46,22.19,26658.66,113.75
0.00,0.50,1.00,2.00,1.00,100.00,1.00,251.14,578.58,236.81,7.69,8226.41,71.05
0.00,0.50,1.00,2.00,10.00,100.00,1.00,649.34,591.82,635.04,19.71,22698.82,229.84
0.00,0.50,1.00,2.00,2.00,100.00,1.00,128.92,583.58,113.44,3.89,3724.70,126.64
0.00,0.50,1.00,2.00,20.00,100.00,1.00,872.15,591.40,858.31,26.47,30724.76,201.27
0.00,0.50,1.00,2.00,3.00,100.00,1.00,220.27,588.19,204.79,6.61,6801.18,166.14
0.00,0.50,1.00,2.00,5.00,100.00,1.00,309.65,593.10,295.12,9.35,10467.24,230.95
0.00,0.50,1.00,2.00,50.00,100.00,1.00,908.90,592.32,894.67,27.57,31587.06,202.46
0.00,0.50,1.00,2.00,7.00,100.00,1.00,518.49,591.41,503.42,15.71,17247.02,232.04
0.00,0.50,1.00,20.00,0.00,100.00,1.00,893.01,595.00,879.80,27.12,32908.00,231.98
0.00,0.50,1.00,20.00,1.00,100.00,1.00,922.61,591.36,908.30,28.02,32698.78,236.01
0.00,0.50,1.00,20.00,10.00,100.00,1.00,857.51,593.38,842.67,26.02,30826.17,211.03
0.00,0.50,1.00,20.00,2.00,100.00,1.00,872.14,592.45,857.89,26.47,30592.32,227.13
0.00,0.50,1.00,20.00,20.00,100.00,1.00,844.45,592.18,830.20,25.63,30442.57,207.11
0.00,0.50,1.00,20.00,3.00,100.00,1.00,892.54,592.12,878.54,27.11,31620.97,238.71
0.00,0.50,1.00,20.00,5.00,100.00,1.00,888.17,592.03,874.27,26.98,32289.75,210.18
0.00,0.50,1.00,20.00,50.00,100.00,1.00,850.51,593.06,836.73,25.82,31144.38,210.41
0.00,0.50,1.00,20.00,7.00,100.00,1.00,865.08,594.21,851.16,26.27,31939.82,208.40
0.00,0.50,1.00,3.00,0.00,99.00,1.00,287.06,571.55,272.75,8.95,9887.39,74.06
0.00,0.50,1.00,3.00,1.00,100.00,1.00,147.11,583.64,132.43,4.49,4209.42,98.45
0.00,0.50,1.00,3.00,10.00,100.00,1.00,831.06,591.67,816.28,25.18,27995.06,240.67
0.00,0.50,1.00,3.00,2.00,100.00,1.00,179.52,587.20,164.39,5.41,5678.33,162.85
0.00,0.50,1.00,3.00,20.00,100.00,1.00,846.87,592.19,832.69,25.70,29379.25,197.87
0.00,0.50,1.00,3.00,3.00,100.00,1.00,162.72,591.30,147.16,4.86,4949.65,197.56
0.00,0.50,1.00,3.00,5.00,100.00,1.00,361.48,593.74,346.36,10.89,12001.37,231.16
0.00,0.50,1.00,3.00,50.00,100.00,1.00,892.79,593.32,878.62,27.10,32079.63,201.91
0.00,0.50,1.00,3.00,7.00,100.00,1.00,654.98,590.00,639.27,19.80,21260.75,230.95
0.00,0.50,1.00,5.00,0.00,100.00,1.00,217.05,586.07,201.73,6.54,6689.91,96.63
0.00,0.50,1.00,5.00,1.00,100.00,1.00,239.97,588.81,224.02,7.17,7177.29,167.81
0.00,0.50,1.00,5.00,10.00,100.00,1.00,819.29,590.98,804.98,24.85,29196.81,214.89
0.00,0.50,1.00,5.00,2.00,100.00,1.00,323.44,590.11,306.34,9.63,9888.40,227.56
0.00,0.50,1.00,5.00,20.00,100.00,1.00,876.12,593.68,861.37,26.58,31267.45,208.07
0.00,0.50,1.00,5.00,3.00,100.00,1.00,341.57,592.88,326.50,10.30,11704.37,246.79
0.00,0.50,1.00,5.00,5.00,100.00,1.00,605.81,591.68,590.41,18.35,20035.04,228.67
0.00,0.50,1.00,5.00,50.00,100.00,1.00,886.72,591.16,872.93,26.92,30612.06,202.90
0.00,0.50,1.00,5.00,7.00,100.00,1.00,732.00,592.72,717.18,22.19,24397.13,227.68
0.00,0.50,1.00,50.00,0.00,100.00,1.00,945.86,594.84,930.94,28.67,32869.97,205.80
0.00,0.50,1.00,50.00,1.00,100.00,1.00,859.79,591.34,845.74,26.11,30203.68,201.33
0.00,0.50,1.00,50.00,10.00,100.00,1.00,848.00,592.32,834.24,25.77,30321.68,198.46
0.00,0.50,1.00,50.00,2.00,100.00,1.00,870.39,591.63,856.27,26.46,31422.66,202.38
0.00,0.50,1.00,50.00,20.00,100.00,1.00,879.54,592.50,865.85,26.70,31367.34,209.00
0.00,0.50,1.00,50.00,3.00,100.00,1.00,903.04,592.49,889.09,27.42,31891.81,202.64
0.00,0.50,1.00,50.00,5.00,100.00,1.00,939.32,592.71,925.17,28.50,33354.93,202.69
0.00,0.50,1.00,50.00,50.00,100.00,1.00,843.31,592.19,828.89,25.58,29638.56,207.22
0.00,0.50,1.00,50.00,7.00,100.00,1.00,905.37,590.90,890.31,27.45,30456.46,203.85
0.00,0.50,10.00,0.00,0.00,95.00,0.99,2098.47,637.07,2085.03,64.77,78345.83,222.68
0.00,0.50,10.00,0.00,1.00,95.00,0.99,2064.93,636.50,2051.28,63.72,77619.02,222.34
