node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.0,0.5,0.0,0.0,1.0,100.0,1.0,432.33,555.0,411.93,12.93,14650.8,118.2
0.0,0.5,0.0,0.0,10.0,100.0,1.0,15807.73,819.47,15799.07,478.93,450884.67,774.13
0.0,0.5,0.0,0.0,2.0,100.0,1.0,1883.27,630.13,1866.33,56.53,50590.2,230.33
0.0,0.5,0.0,0.0,20.0,100.0,1.0,24230.87,892.13,24226.07,734.8,686002.8,947.07
0.0,0.5,0.0,0.0,5.0,100.0,1.0,10531.93,752.53,10520.53,319.13,292476.07,559.6
0.0,0.5,0.0,0.0,50.0,100.0,1.0,25269.8,882.07,25266.13,766.53,706730.33,894.0
0.0,0.5,0.0,0.0,7.0,100.0,1.0,14867.07,830.93,14856.53,450.47,394287.33,693.07
0.0,0.5,1.0,0.0,10.0,100.0,1.0,6135.07,652.53,6122.67,185.87,187766.67,659.33
0.0,0.5,1.0,0.0,3.0,100.0,1.0,507.07,537.2,493.93,15.33,16764.8,257.67
0.0,0.5,1.0,0.0,5.0,100.0,1.0,1818.8,584.53,1805.0,54.87,56227.8,367.13
0.0,0.5,1.0,0.0,7.0,100.0,1.0,4353.13,630.73,4340.47,131.6,130343.27,529.67
0.0,0.5,1.0,1.0,10.0,100.0,1.0,6070.93,642.67,6059.27,183.8,179004.2,674.87
0.0,0.5,1.0,1.0,20.0,100.0,1.0,7011.4,649.87,6999.53,212.6,212819.53,619.53
0.0,0.5,1.0,1.0,3.0,100.0,1.0,1621.27,567.87,1608.67,48.93,56011.53,405.13
0.0,0.5,1.0,1.0,5.0,100.0,1.0,2978.6,613.33,2965.73,89.93,93086.87,461.93
0.0,0.5,1.0,1.0,7.0,100.0,1.0,5373.4,641.73,5360.47,162.53,158954.87,620.47
0.0,0.5,1.0,10.0,0.0,100.0,1.0,5217.53,641.73,5175.2,155.67,155340.6,649.07
0.0,0.5,1.0,10.0,1.0,100.0,1.0,6212.33,649.0,6200.47,188.0,186577.73,711.33
0.0,0.5,1.0,10.0,2.0,100.0,1.0,6591.33,642.33,6579.8,199.87,200670.73,732.93
0.0,0.5,1.0,10.0,3.0,100.0,1.0,6747.27,643.93,6734.93,204.47,193674.13,687.2
0.0,0.5,1.0,10.0,5.0,100.0,1.0,7141.27,645.67,7130.0,216.27,216135.4,729.4
0.0,0.5,1.0,10.0,7.0,100.0,1.0,7413.47,655.27,7401.53,224.6,226127.0,715.2
0.0,0.5,1.0,2.0,10.0,100.0,1.0,6874.47,642.47,6860.87,208.4,205605.87,727.27
0.0,0.5,1.0,2.0,2.0,100.0,1.0,1579.4,561.4,1566.47,47.67,49565.07,361.13
0.0,0.5,1.0,2.0,20.0,100.0,1.0,7447.27,640.8,7436.13,225.93,216812.2,600.2
0.0,0.5,1.0,2.0,3.0,100.0,1.0,2195.07,592.13,2181.4,66.33,70649.53,400.13
0.0,0.5,1.0,2.0,5.0,100.0,1.0,4552.6,619.4,4541.33,137.67,130249.73,524.07
0.0,0.5,1.0,2.0,7.0,100.0,1.0,5608.47,640.6,5597.2,169.73,171287.67,667.27
0.0,0.5,1.0,20.0,0.0,100.0,1.0,6704.13,647.6,6670.33,201.4,212639.33,738.47
0.0,0.5,1.0,20.0,1.0,100.0,1.0,7327.07,663.4,7316.53,222.2,229669.93,681.73
0.0,0.5,1.0,20.0,2.0,100.0,1.0,7391.93,660.4,7380.8,224.13,226998.6,635.13
0.0,0.5,1.0,20.0,3.0,100.0,1.0,7651.47,662.27,7640.6,232.0,231332.73,650.87
0.0,0.5,1.0,20.0,5.0,100.0,1.0,7296.67,643.4,7285.27,221.33,225279.87,610.4
0.0,0.5,1.0,3.0,0.0,100.0,1.0,1392.87,555.93,1350.47,40.0,42934.2,216.4
0.0,0.5,1.0,3.0,10.0,100.0,1.0,7149.4,645.0,7138.27,216.93,204944.33,713.73
0.0,0.5,1.0,3.0,2.0,100.0,1.0,1775.53,585.13,1761.2,53.53,57819.13,384.73
0.0,0.5,1.0,3.0,20.0,100.0,1.0,7305.33,647.0,7294.47,221.53,222500.07,614.0
0.0,0.5,1.0,3.0,3.0,100.0,1.0,3572.33,619.73,3559.4,107.87,108416.87,451.33
0.0,0.5,1.0,3.0,5.0,100.0,1.0,5540.2,631.13,5526.93,167.67,155212.47,612.4
0.0,0.5,1.0,3.0,7.0,100.0,1.0,6070.13,647.27,6056.07,183.67,184677.27,627.53
0.0,0.5,1.0,5.0,0.0,100.0,1.0,2297.07,587.93,2248.33,67.0,62090.07,317.8
0.0,0.5,1.0,5.0,1.0,100.0,1.0,3278.67,623.33,3262.93,98.8,92005.8,423.27
0.0,0.5,1.0,5.0,10.0,100.0,1.0,6787.73,638.13,6775.67,205.6,194676.33,654.73
0.0,0.5,1.0,5.0,2.0,100.0,1.0,4156.33,620.73,4142.67,125.6,123362.13,547.27
0.0,0.5,1.0,5.0,3.0,100.0,1.0,5125.8,638.13,5113.47,155.07,160853.67,621.87
0.0,0.5,1.0,5.0,5.0,100.0,1.0,5919.2,642.47,5906.8,179.2,176977.33,660.13
0.0,0.5,1.0,5.0,7.0,100.0,1.0,7090.0,638.67,7077.67,215.0,190022.93,654.67
0.0,0.5,2.0,0.0,5.0,100.0,1.0,494.6,493.13,482.53,15.13,16840.2,218.67
0.0,0.5,2.0,10.0,5.0,100.0,1.0,1107.93,491.87,1095.0,33.93,37470.6,198.27
0.0,0.5,2.0,20.0,0.0,100.0,1.0,1162.47,488.13,1123.53,33.33,32785.93,219.2
0.0,0.5,2.0,50.0,0.0,100.0,1.0,1126.33,494.93,1081.27,32.13,31229.0,206.53
0.0,0.5,20.0,50.0,1.0,100.0,1.0,2223.6,496.47,2206.8,67.47,55045.8,199.87
0.0,0.5,3.0,10.0,0.0,100.0,1.0,1315.2,495.87,1271.0,38.0,37361.53,180.07
0.0,0.5,3.0,20.0,0.0,100.0,1.0,1356.13,502.27,1313.4,39.07,38098.07,214.0
0.0,0.5,3.0,5.0,1.0,100.0,1.0,879.13,495.47,864.07,26.53,24533.73,157.87
0.0,0.5,7.0,2.0,50.0,100.0,1.0,1776.0,499.4,1760.4,53.73,46997.6,226.27
0.0,1.0,0.0,0.0,10.0,100.0,1.0,13842.73,754.53,13822.93,419.0,221752.93,432.67
0.0,1.0,0.0,0.0,20.0,100.0,1.0,21526.33,860.33,21515.87,652.33,380023.0,601.47
0.0,1.0,0.0,0.0,7.0,100.0,1.0,10002.87,685.0,9978.67,302.47,167689.47,350.67
0.0,1.0,0.0,1.0,10.0,100.0,1.0,14239.67,755.07,14223.27,431.47,250956.53,466.87
0.0,1.0,0.0,1.0,20.0,100.0,1.0,20520.6,804.13,20511.13,622.13,356707.67,580.67
0.0,1.0,0.0,1.0,3.0,100.0,1.0,3538.8,634.33,3515.33,106.4,66279.33,185.87
0.0,1.0,0.0,1.0,7.0,100.0,1.0,11138.07,722.27,11120.73,337.0,200425.87,367.93
0.0,1.0,0.0,2.0,0.0,100.0,1.0,1460.93,541.73,1393.87,41.6,29859.27,155.87
0.0,1.0,0.0,2.0,10.0,100.0,1.0,15628.2,757.8,15613.0,473.27,265560.2,469.87
0.0,1.0,0.0,2.0,20.0,100.0,1.0,20688.27,815.47,20677.8,626.93,361545.67,596.93
0.0,1.0,0.0,2.0,3.0,100.0,1.0,4384.93,644.67,4364.87,132.07,88066.27,180.47
0.0,1.0,0.0,2.0,5.0,100.0,1.0,9290.47,678.33,9272.53,280.73,161069.93,294.33
0.0,1.0,1.0,0.0,10.0,100.0,1.0,3160.93,592.47,3146.93,95.47,85097.87,377.13
0.0,1.0,1.0,0.0,20.0,100.0,1.0,6327.87,631.6,6316.6,191.6,166132.67,598.4
0.0,1.0,1.0,0.0,7.0,100.0,1.0,1313.8,560.4,1300.67,39.67,39756.0,322.73
0.0,1.0,1.0,1.0,10.0,100.0,1.0,3941.13,606.87,3923.53,118.93,97228.07,374.33
0.0,1.0,1.0,1.0,20.0,100.0,1.0,7760.33,657.53,7745.6,235.0,191695.2,571.4
0.0,1.0,1.0,1.0,7.0,100.0,1.0,1864.67,568.6,1848.67,56.13,51263.8,350.33
0.0,1.0,1.0,10.0,0.0,100.0,1.0,2717.53,576.8,2669.67,79.6,63129.67,281.33
0.0,1.0,1.0,10.0,1.0,100.0,1.0,3696.2,601.47,3675.87,111.4,86232.0,348.67
0.0,1.0,1.0,10.0,10.0,100.0,1.0,7294.73,647.0,7280.0,220.87,171010.73,569.87
0.0,1.0,1.0,10.0,2.0,100.0,1.0,4392.4,614.13,4374.47,132.53,100317.73,424.73
0.0,1.0,1.0,10.0,20.0,100.0,1.0,7537.67,634.33,7523.6,228.53,177344.0,551.0
0.0,1.0,1.0,10.0,3.0,100.0,1.0,5540.8,615.13,5524.67,167.67,127452.13,490.13
0.0,1.0,1.0,10.0,5.0,100.0,1.0,6313.73,616.87,6299.8,191.13,152799.73,550.73
0.0,1.0,1.0,10.0,7.0,100.0,1.0,6268.47,639.8,6251.93,189.6,145127.2,550.53
0.0,1.0,1.0,2.0,10.0,100.0,1.0,5165.0,606.07,5148.87,156.27,119473.33,397.93
0.0,1.0,1.0,2.0,20.0,100.0,1.0,7384.47,629.73,7370.47,223.73,173302.33,571.0
0.0,1.0,1.0,2.0,5.0,100.0,1.0,1823.47,556.6,1806.4,54.93,48413.27,306.4
0.0,1.0,1.0,2.0,7.0,100.0,1.0,2842.8,584.6,2823.0,85.6,67136.67,317.4
0.0,1.0,1.0,20.0,0.0,100.0,1.0,6562.67,643.2,6514.33,196.33,165444.73,599.67
0.0,1.0,1.0,20.0,1.0,100.0,1.0,7381.67,651.2,7365.0,223.67,169663.47,575.33
0.0,1.0,1.0,20.0,10.0,100.0,1.0,7755.0,637.53,7741.0,235.13,175575.8,561.33
0.0,1.0,1.0,20.0,2.0,100.0,1.0,7292.07,637.47,7277.8,221.07,169572.0,588.87
0.0,1.0,1.0,20.0,20.0,100.0,1.0,7483.6,625.4,7468.8,226.47,173720.33,511.53
0.0,1.0,1.0,20.0,3.0,100.0,1.0,6990.93,632.67,6974.47,211.6,153343.4,569.8
0.0,1.0,1.0,20.0,5.0,100.0,1.0,7865.2,648.2,7849.53,238.6,180999.67,509.73
0.0,1.0,1.0,20.0,7.0,100.0,1.0,8148.4,646.4,8132.87,247.13,182277.27,534.67
0.0,1.0,1.0,3.0,10.0,100.0,1.0,5338.73,617.73,5322.93,161.47,125333.47,472.33
0.0,1.0,1.0,3.0,20.0,100.0,1.0,7247.93,640.87,7233.33,219.47,170348.13,579.73
0.0,1.0,1.0,3.0,5.0,100.0,1.0,2151.67,557.4,2135.2,64.87,55954.47,308.33
0.0,1.0,1.0,3.0,7.0,100.0,1.0,4044.47,622.87,4027.53,122.13,97419.73,373.67
0.0,1.0,1.0,5.0,10.0,100.0,1.0,6047.07,629.13,6031.6,182.87,154591.47,573.93
0.0,1.0,1.0,5.0,20.0,100.0,1.0,7794.0,643.07,7780.27,236.33,185988.67,551.2
0.0,1.0,1.0,5.0,5.0,100.0,1.0,3298.67,600.8,3283.73,99.6,85344.4,395.67
0.0,1.0,1.0,5.0,7.0,100.0,1.0,4504.13,626.8,4489.0,136.0,111763.0,439.4
0.0,1.0,1.0,50.0,0.0,100.0,1.0,7800.0,647.47,7763.87,234.53,199829.0,561.53
0.0,1.0,15.0,10.0,0.0,100.0,1.0,2024.8,495.2,1982.73,59.8,62038.27,203.47
0.0,1.0,20.0,2.0,5.0,100.0,1.0,1761.8,496.07,1746.2,53.27,49141.8,200.6
0.0,1.0,20.0,50.0,5.0,100.0,1.0,567.6,506.47,563.8,17.8,35398.87,333.93
0.0,1.0,3.0,10.0,2.0,100.0,1.0,872.73,495.6,859.13,26.67,27032.93,159.13
0.0,1.0,3.0,20.0,0.0,100.0,1.0,1151.33,501.67,1111.07,33.27,36397.33,215.93
0.0,1.0,7.0,0.0,1.0,100.0,1.0,366.4,500.0,363.2,11.8,27130.2,270.33
0.0,1.0,7.0,0.0,10.0,100.0,1.0,1064.07,497.87,1061.13,32.73,64231.47,372.8
0.0,1.0,7.0,0.0,2.0,100.0,1.0,366.33,498.6,363.4,11.8,27187.13,275.73
0.0,1.0,7.0,0.0,20.0,100.0,1.0,1438.4,511.27,1435.27,44.0,90232.8,387.0
0.0,1.0,7.0,0.0,3.0,100.0,1.0,366.4,499.4,363.6,11.8,27151.87,280.0
0.0,1.0,7.0,0.0,5.0,100.0,1.0,270.2,497.13,267.13,8.87,19789.8,286.07
0.0,1.0,7.0,0.0,50.0,100.0,1.0,1137.87,501.53,1134.87,34.93,69654.2,401.8
0.0,1.0,7.0,0.0,7.0,100.0,1.0,755.8,501.73,752.6,22.33,45819.8,330.33
0.0,1.5,0.0,0.0,10.0,100.0,1.0,4209.4,717.13,4205.4,127.33,161465.73,427.53
0.0,1.5,0.0,0.0,20.0,100.0,1.0,10051.13,825.93,10047.47,304.13,380657.53,795.4
0.0,1.5,0.0,0.0,3.0,100.0,1.0,354.47,555.0,350.73,11.33,19856.4,138.87
0.0,1.5,0.0,0.0,5.0,100.0,1.0,621.0,576.4,617.47,19.2,31593.07,229.73
0.0,1.5,0.0,0.0,50.0,100.0,1.0,18748.4,882.53,18745.87,567.93,710232.8,1070.07
0.0,1.5,0.0,0.0,7.0,100.0,1.0,2189.33,685.13,2185.13,66.33,89242.93,323.93
0.0,1.5,0.0,1.0,10.0,100.0,1.0,4471.93,715.53,4467.87,135.2,173767.93,474.07
0.0,1.5,0.0,1.0,20.0,100.0,1.0,10249.13,815.0,10245.4,310.07,398579.33,824.2
0.0,1.5,0.0,1.0,3.0,100.0,1.0,461.4,569.07,457.4,14.67,26380.0,178.07
0.0,1.5,0.0,1.0,5.0,100.0,1.0,754.8,633.67,750.6,23.13,35250.2,245.73
0.0,1.5,0.0,1.0,50.0,100.0,1.0,17997.67,859.87,17995.2,545.07,699007.93,1086.87
0.0,1.5,0.0,1.0,7.0,100.0,1.0,2523.93,724.67,2519.27,76.4,104470.67,363.8
0.0,1.5,0.0,10.0,0.0,100.0,1.0,720.0,673.4,690.07,20.4,28711.47,409.67
0.0,1.5,0.0,10.0,1.0,100.0,1.0,373.8,693.13,366.13,11.27,17968.07,251.0
0.0,1.5,0.0,10.0,10.0,100.0,1.0,7527.87,750.27,7524.6,226.87,329588.6,665.33
0.0,1.5,0.0,10.0,2.0,100.0,1.0,1359.07,698.0,1354.73,41.27,59721.73,238.53
0.0,1.5,0.0,10.0,20.0,100.0,1.0,12351.67,844.2,12348.67,372.93,547929.33,915.93
0.0,1.5,0.0,10.0,3.0,100.0,1.0,2452.2,711.0,2448.07,74.07,104807.53,267.67
0.0,1.5,0.0,10.0,5.0,100.0,1.0,4310.0,719.53,4306.0,129.93,186285.33,383.8
