node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.0,0.5,0.0,0.0,0.0,100.0,1.0,15.23,233.82,8.23,1.01,156.65,38.16
0.0,0.5,1.0,0.0,0.0,100.0,1.0,16.99,233.63,8.89,1.0,155.92,38.14
0.0,0.5,1.0,1.0,0.0,100.0,1.0,16.87,234.88,8.36,1.0,142.7,33.21
0.0,0.5,1.0,2.0,0.0,100.0,1.0,25.85,258.21,14.86,1.05,242.78,83.46
0.0,0.5,1.0,2.0,1.0,100.0,1.0,26.19,271.58,18.52,1.22,484.64,118.33
0.0,0.5,1.0,3.0,0.0,100.0,1.0,21.44,269.98,13.23,1.07,310.41,109.95
0.0,0.5,1.0,3.0,1.0,100.0,1.0,28.62,271.96,21.63,1.32,607.21,123.91
0.0,0.5,1.0,5.0,0.0,100.0,1.0,21.5,273.26,14.05,1.08,344.81,109.34
0.0,0.5,10.0,0.0,0.0,100.0,1.0,14.46,233.63,7.6,1.0,155.92,38.14
0.0,0.5,10.0,0.0,1.0,100.0,1.0,12.26,233.63,6.52,1.0,155.92,38.14
0.0,0.5,10.0,0.0,10.0,100.0,1.0,12.18,233.63,6.53,1.0,155.92,38.14
0.0,0.5,10.0,0.0,2.0,100.0,1.0,11.68,233.63,6.56,1.0,155.92,38.14
0.0,0.5,10.0,0.0,20.0,100.0,1.0,11.99,233.63,6.38,1.0,155.92,38.14
0.0,0.5,10.0,0.0,3.0,100.0,1.0,12.28,233.63,6.53,1.0,155.92,38.14
0.0,0.5,10.0,0.0,5.0,100.0,1.0,12.07,233.63,6.63,1.0,155.92,38.14
0.0,0.5,10.0,0.0,50.0,100.0,1.0,12.05,233.63,6.32,1.0,155.92,38.14
0.0,0.5,10.0,0.0,7.0,100.0,1.0,11.69,233.63,6.23,1.0,155.92,38.14
0.0,0.5,10.0,1.0,0.0,100.0,1.0,14.8,233.63,7.92,1.0,155.92,38.14
0.0,0.5,10.0,1.0,1.0,100.0,1.0,11.8,233.63,6.62,1.0,155.92,38.14
0.0,0.5,10.0,1.0,10.0,100.0,1.0,11.99,233.63,6.44,1.0,155.92,38.14
0.0,0.5,10.0,1.0,2.0,100.0,1.0,11.83,233.63,6.44,1.0,155.92,38.14
0.0,0.5,10.0,1.0,20.0,100.0,1.0,11.89,233.63,6.32,1.0,155.92,38.14
0.0,0.5,10.0,1.0,3.0,100.0,1.0,11.75,233.63,6.33,1.0,155.92,38.14
0.0,0.5,10.0,1.0,5.0,100.0,1.0,11.73,233.63,6.28,1.0,155.92,38.14
0.0,0.5,10.0,1.0,50.0,100.0,1.0,12.08,233.63,6.57,1.0,155.92,38.14
0.0,0.5,10.0,1.0,7.0,100.0,1.0,12.03,233.63,6.51,1.0,155.92,38.14
