node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.0,0.5,0.0,0.0,1.0,100.0,1.0,47.89,382.5,36.6,1.76,1055.89,41.47
0.0,0.5,0.0,0.0,2.0,100.0,1.0,70.06,470.6,56.0,2.03,851.65,68.59
0.0,0.5,0.0,0.0,20.0,100.0,1.0,17856.96,697.86,17852.65,541.29,492291.73,931.19
0.0,0.5,0.0,0.0,3.0,100.0,1.0,574.5,518.25,560.77,16.99,14039.8,160.45
0.0,0.5,0.0,0.0,5.0,100.0,1.0,6953.04,584.58,6942.85,210.29,179492.04,468.74
0.0,0.5,0.0,0.0,7.0,100.0,1.0,11313.5,637.53,11305.65,342.54,299459.53,735.16
0.0,0.5,1.0,0.0,10.0,100.0,1.0,3259.61,505.56,3249.0,98.51,95366.12,718.78
0.0,0.5,1.0,0.0,2.0,100.0,1.0,19.08,359.24,8.96,1.0,159.33,17.1
0.0,0.5,1.0,0.0,20.0,100.0,1.0,6222.96,545.2,6213.63,188.63,175076.9,595.59
0.0,0.5,1.0,0.0,3.0,100.0,1.0,26.22,396.72,13.81,1.0,231.94,40.57
0.0,0.5,1.0,0.0,5.0,100.0,1.0,32.29,430.15,21.2,1.02,460.59,131.39
0.0,0.5,1.0,0.0,50.0,100.0,1.0,6194.06,550.93,6184.72,187.79,185217.07,610.08
0.0,0.5,1.0,0.0,7.0,100.0,1.0,789.87,461.03,777.98,23.69,21033.06,359.15
0.0,0.5,1.0,1.0,1.0,100.0,1.0,53.36,354.59,43.76,2.06,1510.68,62.98
0.0,0.5,1.0,1.0,10.0,100.0,1.0,3687.67,512.83,3676.51,111.51,108009.6,759.39
0.0,0.5,1.0,1.0,2.0,100.0,1.0,22.77,396.72,12.51,1.0,231.94,40.57
0.0,0.5,1.0,1.0,20.0,100.0,1.0,6165.86,548.55,6155.62,186.88,175608.61,616.89
0.0,0.5,1.0,1.0,3.0,100.0,1.0,31.04,421.04,18.01,1.0,344.07,78.24
0.0,0.5,1.0,1.0,5.0,100.0,1.0,187.09,445.31,174.01,5.48,4507.27,217.49
0.0,0.5,1.0,1.0,50.0,100.0,1.0,6357.79,548.15,6347.94,192.73,185889.12,607.59
