node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.0,0.5,0.0,0.0,3.0,100.0,1.0,4536.57,722.23,4520.58,137.06,129219.68,361.01
0.0,0.5,1.0,0.0,5.0,100.0,1.0,2298.25,632.3,2282.79,69.4,71838.14,381.49
0.0,0.5,1.0,0.0,7.0,100.0,1.0,3100.66,649.4,3086.06,93.88,100214.77,519.01
0.0,0.5,1.0,1.0,5.0,100.0,1.0,2537.07,644.69,2521.42,76.57,80990.92,459.45
0.0,0.5,1.0,2.0,2.0,100.0,1.0,1664.3,612.36,1649.43,50.31,52948.78,312.52
0.0,0.5,1.0,2.0,3.0,100.0,1.0,2206.04,636.5,2190.94,66.63,70957.38,370.46
0.0,0.5,1.0,3.0,2.0,100.0,1.0,2118.04,636.88,2102.77,63.93,69497.25,381.6
0.0,0.5,1.0,3.0,3.0,100.0,1.0,2538.92,647.93,2523.79,76.74,82148.62,447.8
0.0,0.5,1.0,5.0,0.0,100.0,1.0,2160.54,629.23,2142.67,65.08,69985.76,395.89
0.0,0.5,1.0,5.0,1.0,100.0,1.0,2574.15,641.82,2558.66,77.78,79676.9,421.19
0.0,0.5,1.0,5.0,2.0,100.0,1.0,2715.7,646.39,2700.95,82.04,87703.8,486.89
0.0,1.0,0.0,1.0,7.0,100.0,1.0,11515.51,744.31,11494.44,348.45,203337.94,416.64
0.0,1.0,0.0,2.0,3.0,100.0,1.0,4621.3,658.6,4596.27,139.32,87562.98,249.56
0.0,1.5,0.0,0.0,10.0,100.0,1.0,3029.06,748.45,3024.53,91.81,125872.47,398.87
0.0,1.5,0.0,0.0,5.0,100.0,1.0,1196.15,647.09,1191.93,36.61,57067.99,234.43
0.0,1.5,0.0,0.0,7.0,100.0,1.0,1411.56,694.77,1407.17,43.0,63134.69,279.3
0.0,1.5,0.0,1.0,10.0,100.0,1.0,3717.56,753.25,3712.93,112.68,159256.92,432.33
0.0,1.5,0.0,1.0,2.0,100.0,1.0,445.46,584.43,441.29,13.98,22709.28,265.57
0.0,1.5,0.0,1.0,3.0,100.0,1.0,765.76,589.76,761.7,23.73,37989.93,266.98
0.0,1.5,0.0,1.0,5.0,100.0,1.0,1138.86,666.24,1134.32,34.83,54556.23,253.92
0.0,1.5,0.0,10.0,0.0,100.0,1.0,1146.61,711.75,1139.73,34.78,61785.02,473.61
0.0,1.5,0.0,10.0,1.0,100.0,1.0,891.81,719.72,887.5,27.14,44980.25,336.54
0.0,1.5,0.0,10.0,2.0,100.0,1.0,1281.71,721.44,1277.45,38.93,62898.49,372.69
0.0,1.5,0.0,10.0,3.0,100.0,1.0,1768.78,724.27,1764.62,53.7,86905.78,388.64
0.0,1.5,0.0,10.0,5.0,100.0,1.0,3077.88,741.97,3073.74,93.08,146803.33,415.71
0.0,1.5,0.0,10.0,7.0,100.0,1.0,4145.42,744.34,4141.57,125.44,193107.33,493.7
0.0,1.5,0.0,2.0,10.0,100.0,1.0,3902.0,759.83,3897.48,118.33,165589.85,445.5
0.0,1.5,0.0,2.0,2.0,100.0,1.0,422.82,602.79,417.72,13.23,21319.76,273.57
0.0,1.5,0.0,2.0,5.0,100.0,1.0,1204.18,686.04,1199.77,36.79,57605.26,276.92
0.0,1.5,0.0,20.0,0.0,100.0,1.0,4958.57,746.4,4952.73,150.12,236872.69,706.78
0.0,1.5,0.0,20.0,1.0,100.0,1.0,4986.82,735.78,4982.64,150.77,227375.38,596.99
0.0,1.5,0.0,20.0,10.0,100.0,1.0,10246.89,785.74,10243.77,310.12,464578.95,760.65
0.0,1.5,0.0,20.0,2.0,100.0,1.0,5256.53,738.46,5252.74,159.05,234445.98,539.91
0.0,1.5,0.0,20.0,3.0,100.0,1.0,5849.3,733.1,5845.66,176.93,262392.46,541.63
0.0,1.5,0.0,3.0,5.0,100.0,1.0,2835.34,678.39,2818.04,85.44,77586.56,262.89
0.0,1.5,0.0,3.0,7.0,100.0,1.0,5499.57,710.66,5483.6,166.3,145123.39,357.86
0.0,1.5,0.0,5.0,0.0,100.0,1.0,1025.43,635.03,1018.14,31.28,57819.76,568.81
0.0,1.5,0.0,5.0,1.0,100.0,1.0,497.62,679.96,493.39,15.44,27221.17,328.25
0.0,1.5,0.0,5.0,10.0,100.0,1.0,4174.14,770.49,4170.03,126.32,198557.69,516.53
0.0,1.5,0.0,5.0,2.0,100.0,1.0,524.71,678.53,520.51,16.23,28246.03,283.74
0.0,1.5,0.0,5.0,3.0,100.0,1.0,961.95,682.34,957.93,29.46,52666.46,289.81
0.0,1.5,0.0,5.0,5.0,100.0,1.0,1177.4,711.62,1173.06,35.83,62744.51,332.62
0.0,1.5,0.0,5.0,7.0,100.0,1.0,2299.28,743.77,2294.85,69.65,113255.37,399.6
0.0,1.5,1.0,0.0,10.0,100.0,1.0,1051.98,601.37,1047.84,32.33,52992.42,295.85
0.0,1.5,1.0,0.0,20.0,100.0,1.0,2008.14,653.04,2003.97,61.17,96625.65,548.45
0.0,1.5,1.0,0.0,7.0,100.0,1.0,910.15,577.27,906.39,28.2,46753.46,308.74
0.0,1.5,1.0,10.0,1.0,100.0,1.0,740.98,601.26,736.91,22.9,36373.39,356.04
0.0,1.5,1.0,10.0,10.0,100.0,1.0,1960.42,652.33,1956.31,59.71,92595.32,524.06
0.0,1.5,1.0,10.0,5.0,100.0,1.0,1521.94,640.26,1517.97,46.43,73104.13,401.79
0.0,1.5,1.0,10.0,7.0,100.0,1.0,1725.43,648.04,1721.39,52.73,82519.48,465.01
0.0,1.5,1.0,2.0,10.0,100.0,1.0,1149.03,616.72,1144.84,35.31,56593.24,333.17
0.0,1.5,1.0,2.0,20.0,100.0,1.0,2266.21,649.55,2262.13,68.95,106494.39,584.47
0.0,1.5,1.0,20.0,0.0,100.0,1.0,1937.13,645.67,1931.12,58.91,91945.96,517.25
0.0,1.5,1.0,20.0,1.0,100.0,1.0,2017.73,647.85,2013.66,61.42,93465.33,506.51
0.0,1.5,1.0,20.0,10.0,100.0,1.0,2880.08,652.01,2876.13,87.66,132743.45,760.46
0.0,1.5,1.0,20.0,2.0,100.0,1.0,2190.44,649.58,2186.31,66.72,101202.71,548.52
0.0,1.5,1.0,20.0,20.0,100.0,1.0,3528.05,662.32,3524.22,107.31,161260.27,811.3
0.0,1.5,1.0,20.0,5.0,100.0,1.0,2578.38,655.47,2574.42,78.56,118264.05,660.09
0.0,1.5,1.0,3.0,20.0,100.0,1.0,2294.77,647.72,2290.81,69.88,107990.11,597.21
0.0,1.5,1.0,3.0,7.0,100.0,1.0,894.51,596.05,890.45,27.7,44161.73,292.04
0.0,1.5,2.0,0.0,10.0,100.0,1.0,816.98,543.96,813.42,25.4,43153.84,357.5
0.0,1.5,2.0,0.0,20.0,100.0,1.0,812.7,548.79,809.07,25.29,42402.26,311.6
0.0,2.0,0.0,0.0,10.0,100.0,1.0,4746.74,677.5,4726.28,143.38,105824.72,300.1
0.0,2.0,0.0,0.0,7.0,100.0,1.0,1971.76,647.39,1951.16,59.24,47532.09,192.48
0.0,2.0,0.0,1.0,10.0,100.0,1.0,5047.11,691.25,5028.18,152.57,117095.68,323.08
0.0,2.0,0.0,10.0,1.0,100.0,1.0,3379.01,679.42,3358.8,101.89,80975.87,258.82
0.0,2.0,0.0,10.0,3.0,100.0,1.0,4690.67,673.05,4671.99,141.61,109704.45,287.6
0.0,2.0,0.0,10.0,5.0,100.0,1.0,6485.63,684.92,6468.64,196.09,147944.14,316.4
0.0,2.0,0.0,10.0,7.0,100.0,1.0,8187.56,704.93,8171.63,247.72,188131.31,373.51
0.0,2.0,0.0,2.0,10.0,100.0,1.0,5982.1,703.87,5963.37,180.66,139669.24,346.94
0.0,2.0,0.0,3.0,10.0,100.0,1.0,6393.03,713.44,6375.15,193.35,154875.79,361.77
0.0,2.0,0.0,3.0,7.0,100.0,1.0,3313.26,670.95,3293.73,99.85,80583.08,259.13
0.0,2.0,0.0,5.0,10.0,100.0,1.0,7949.58,724.08,7931.45,240.47,181781.1,377.78
0.0,2.0,0.0,5.0,7.0,100.0,1.0,5050.43,678.14,5030.82,152.48,114921.91,293.45
0.0,2.0,1.0,2.0,20.0,100.0,1.0,2587.36,634.87,2573.88,78.22,79721.62,418.95
0.0,2.0,1.0,5.0,10.0,100.0,1.0,1001.84,606.94,997.94,30.82,48812.68,321.98
0.0,2.0,1.0,5.0,50.0,100.0,1.0,3635.27,667.69,3631.5,110.65,167740.3,810.85
0.5,0.5,0.0,1.0,1.0,100.0,1.0,5633.78,417.64,5624.63,171.72,138709.71,461.8
0.5,0.5,0.0,10.0,0.0,100.0,1.0,6304.24,425.8,6301.15,192.17,307907.35,1036.64
0.5,0.5,0.0,10.0,1.0,100.0,1.0,6278.67,431.78,6277.01,191.35,298347.58,962.81
0.5,0.5,0.0,2.0,1.0,100.0,1.0,5990.02,417.56,5980.64,182.59,140463.9,481.54
0.5,0.5,0.0,20.0,1.0,100.0,1.0,6500.84,430.75,6499.2,198.21,326835.72,1056.36
