node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.0,0.5,0.0,0.0,0.0,100.0,1.0,62.73,323.48,53.87,2.33,2018.52,49.16
0.0,0.5,0.0,0.0,1.0,100.0,1.0,22.42,375.86,11.35,1.0,192.03,30.7
0.0,0.5,0.0,0.0,2.0,100.0,1.0,29.42,437.75,18.08,1.01,366.24,61.08
0.0,0.5,0.0,0.0,3.0,100.0,1.0,371.34,465.32,359.56,11.04,9106.32,130.05
0.0,0.5,0.0,0.0,5.0,100.0,1.0,4244.81,486.79,4235.44,128.43,113358.44,333.25
0.0,0.5,0.0,0.0,7.0,100.0,1.0,6991.9,515.26,6984.05,211.79,192771.66,510.57
0.0,0.5,1.0,0.0,0.0,100.0,1.0,53.95,323.8,45.2,2.07,1720.5,50.72
0.0,0.5,1.0,0.0,1.0,100.0,1.0,21.31,332.19,10.95,1.02,195.93,32.67
0.0,0.5,1.0,0.0,10.0,100.0,1.0,927.13,378.78,917.91,28.17,25305.64,333.96
0.0,0.5,1.0,0.0,2.0,100.0,1.0,17.99,337.83,8.98,1.0,173.61,27.0
0.0,0.5,1.0,0.0,20.0,100.0,1.0,2858.66,390.54,2850.95,86.92,83463.22,373.62
0.0,0.5,1.0,0.0,3.0,100.0,1.0,21.67,347.16,11.41,1.0,200.85,40.14
0.0,0.5,1.0,0.0,5.0,100.0,1.0,27.72,361.85,18.23,1.1,412.31,99.0
0.0,0.5,1.0,0.0,7.0,100.0,1.0,213.42,369.54,204.35,6.64,5741.07,199.52
0.0,0.5,1.0,1.0,0.0,100.0,1.0,30.43,331.15,21.49,1.37,753.93,45.39
0.0,0.5,1.0,1.0,1.0,100.0,1.0,18.56,336.54,9.52,1.02,197.63,32.39
0.0,0.5,1.0,1.0,10.0,100.0,1.0,1184.2,380.43,1175.08,35.99,34312.98,367.83
0.0,0.5,1.0,1.0,2.0,100.0,1.0,19.02,346.98,10.11,1.0,201.67,37.83
0.0,0.5,1.0,1.0,20.0,100.0,1.0,2884.84,390.19,2876.84,87.72,85883.84,381.73
0.0,0.5,1.0,1.0,3.0,100.0,1.0,22.62,353.38,12.89,1.0,257.41,64.42
0.0,0.5,1.0,1.0,5.0,100.0,1.0,50.63,365.42,40.75,1.72,1042.25,144.65
0.0,0.5,1.0,1.0,7.0,100.0,1.0,415.36,373.13,405.84,12.71,11448.52,249.38
0.0,0.5,1.0,10.0,0.0,100.0,1.0,1098.83,376.75,1089.52,33.37,28645.12,330.31
0.0,0.5,1.0,10.0,1.0,100.0,1.0,1177.76,379.98,1168.66,35.79,33492.4,369.28
0.0,0.5,1.0,10.0,10.0,100.0,1.0,2867.62,391.04,2859.81,87.19,84442.43,378.05
0.0,0.5,1.0,10.0,2.0,100.0,1.0,1495.34,381.48,1486.78,45.48,43789.87,373.9
0.0,0.5,1.0,10.0,3.0,100.0,1.0,1876.32,384.04,1867.64,57.02,53733.46,376.96
0.0,0.5,1.0,10.0,5.0,100.0,1.0,2376.02,388.22,2367.53,72.23,69516.04,388.24
0.0,0.5,1.0,10.0,7.0,100.0,1.0,2628.07,391.29,2620.09,79.91,78016.99,372.99
0.0,0.5,1.0,2.0,0.0,100.0,1.0,18.88,336.2,10.21,1.03,242.72,42.45
0.0,0.5,1.0,2.0,1.0,100.0,1.0,19.25,346.93,10.36,1.0,211.13,42.16
0.0,0.5,1.0,2.0,10.0,100.0,1.0,1499.87,381.09,1491.27,45.57,43548.19,378.88
0.0,0.5,1.0,2.0,2.0,100.0,1.0,21.17,353.42,12.1,1.01,267.0,65.18
0.0,0.5,1.0,2.0,20.0,100.0,1.0,2915.62,388.15,2907.97,88.68,84669.79,368.69
0.0,0.5,1.0,2.0,3.0,100.0,1.0,26.07,361.7,17.14,1.1,416.88,98.37
0.0,0.5,1.0,2.0,5.0,100.0,1.0,209.58,369.38,200.32,6.51,5577.15,198.62
0.0,0.5,1.0,2.0,7.0,100.0,1.0,619.46,373.42,610.57,18.9,17515.96,296.43
0.0,0.5,1.0,20.0,0.0,100.0,1.0,2862.85,389.43,2854.62,87.02,82229.17,372.63
0.0,0.5,1.0,20.0,1.0,100.0,1.0,2861.66,389.52,2854.02,87.01,85825.29,383.87
