node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.0,0.5,0.0,0.0,0.0,100.0,1.0,85.04,331.74,76.06,3.0,2918.82,62.8
0.0,0.5,0.0,0.0,1.0,100.0,1.0,23.09,374.05,11.76,1.0,192.17,33.37
0.0,0.5,0.0,0.0,2.0,100.0,1.0,27.79,420.05,16.84,1.01,331.5,58.49
0.0,0.5,0.0,0.0,3.0,100.0,1.0,241.9,452.25,230.38,7.22,5559.92,125.8
0.0,0.5,0.0,0.0,5.0,100.0,1.0,2953.59,467.79,2943.84,89.28,78253.68,312.88
0.0,0.5,0.0,0.0,7.0,100.0,1.0,5402.61,492.22,5394.32,163.56,148566.5,487.45
0.0,0.5,1.0,0.0,0.0,100.0,1.0,71.89,332.22,62.95,2.6,2471.79,65.15
0.0,0.5,1.0,0.0,1.0,100.0,1.0,22.14,342.27,11.7,1.02,221.5,42.84
0.0,0.5,1.0,0.0,10.0,100.0,1.0,1162.86,385.38,1153.88,35.31,31685.92,327.54
0.0,0.5,1.0,0.0,2.0,100.0,1.0,18.63,345.69,9.38,1.0,180.25,27.43
0.0,0.5,1.0,0.0,20.0,100.0,1.0,3403.15,390.64,3395.84,103.45,98427.84,390.45
0.0,0.5,1.0,0.0,3.0,100.0,1.0,22.04,355.75,11.59,1.0,205.72,40.77
0.0,0.5,1.0,0.0,5.0,100.0,1.0,25.42,369.24,15.78,1.01,337.71,95.7
0.0,0.5,1.0,0.0,7.0,100.0,1.0,293.02,376.44,283.83,9.04,8018.47,192.61
0.0,0.5,1.0,1.0,0.0,100.0,1.0,37.21,341.02,28.11,1.56,1043.48,59.45
0.0,0.5,1.0,1.0,1.0,100.0,1.0,19.53,344.67,10.14,1.02,217.81,36.9
0.0,0.5,1.0,1.0,10.0,100.0,1.0,1416.21,384.26,1407.28,43.0,40531.96,356.29
0.0,0.5,1.0,1.0,2.0,100.0,1.0,19.57,356.27,10.48,1.0,208.57,37.97
0.0,0.5,1.0,1.0,20.0,100.0,1.0,3421.23,389.6,3413.72,104.02,102203.93,403.31
0.0,0.5,1.0,1.0,3.0,100.0,1.0,22.41,361.94,12.88,1.0,261.64,62.06
0.0,0.5,1.0,1.0,5.0,100.0,1.0,58.2,372.02,48.38,1.93,1250.44,140.47
0.0,0.5,1.0,1.0,7.0,100.0,1.0,579.36,380.18,569.64,17.66,16037.77,240.01
0.0,0.5,1.0,10.0,0.0,100.0,1.0,1340.45,383.9,1331.29,40.69,34960.88,326.05
0.0,0.5,1.0,10.0,1.0,100.0,1.0,1507.82,383.85,1498.59,45.75,42175.67,357.65
0.0,0.5,1.0,10.0,10.0,100.0,1.0,3411.84,391.61,3404.55,103.72,99451.65,397.74
0.0,0.5,1.0,10.0,2.0,100.0,1.0,1755.4,384.58,1747.03,53.37,51429.68,377.74
0.0,0.5,1.0,10.0,3.0,100.0,1.0,2232.18,386.33,2223.7,67.81,63099.96,377.44
0.0,0.5,1.0,10.0,5.0,100.0,1.0,2846.68,390.59,2838.78,86.53,83137.73,395.18
0.0,0.5,1.0,10.0,7.0,100.0,1.0,3091.28,391.37,3083.53,93.97,91878.41,382.65
0.0,0.5,1.0,2.0,0.0,100.0,1.0,19.95,344.46,11.17,1.05,285.01,53.37
0.0,0.5,1.0,2.0,1.0,100.0,1.0,19.93,357.01,10.81,1.0,224.83,45.24
0.0,0.5,1.0,2.0,10.0,100.0,1.0,1733.65,384.06,1725.35,52.65,50317.3,383.77
0.0,0.5,1.0,2.0,2.0,100.0,1.0,21.91,362.18,12.66,1.01,280.8,62.83
0.0,0.5,1.0,2.0,20.0,100.0,1.0,3451.4,387.0,3444.28,104.95,99848.84,386.68
0.0,0.5,1.0,2.0,3.0,100.0,1.0,23.69,369.26,14.54,1.01,338.22,94.81
0.0,0.5,1.0,2.0,5.0,100.0,1.0,288.04,375.67,278.62,8.88,7804.05,192.0
0.0,0.5,1.0,2.0,7.0,100.0,1.0,834.82,380.17,826.0,25.41,23588.21,295.47
0.0,0.5,1.0,20.0,0.0,100.0,1.0,3381.41,388.94,3373.59,102.75,96494.3,389.29
0.0,0.5,1.0,20.0,1.0,100.0,1.0,3403.45,388.65,3396.03,103.45,101674.99,405.81
