node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.0,0.5,0.0,0.0,1.0,100.0,1.0,282.01,575.52,263.63,8.42,8115.61,59.02
0.0,0.5,1.0,0.0,1.0,100.0,1.0,193.69,510.7,177.66,5.86,5682.3,96.01
0.0,0.5,1.0,1.0,1.0,100.0,1.0,209.15,513.43,194.78,6.44,6606.65,76.51
0.0,0.5,2.0,1.0,1.0,100.0,1.0,311.05,518.52,297.52,9.62,10870.96,138.8
0.0,1.0,0.0,0.0,2.0,100.0,1.0,341.9,574.84,312.43,9.6,6414.81,52.95
0.0,1.0,1.0,0.0,2.0,100.0,1.0,195.66,511.64,181.72,6.02,5766.38,92.09
0.0,1.0,1.0,1.0,2.0,100.0,1.0,167.65,510.41,150.73,5.07,4381.63,77.56
0.0,1.0,1.0,3.0,1.0,100.0,1.0,266.16,511.94,249.94,7.99,7358.54,95.17
0.0,1.0,1.0,5.0,1.0,100.0,1.0,276.33,525.79,254.66,7.98,7010.86,113.94
0.0,1.0,3.0,1.0,3.0,100.0,1.0,990.36,539.37,976.81,30.16,33976.38,168.54
0.0,1.0,3.0,3.0,2.0,100.0,1.0,681.24,536.67,666.44,20.68,21863.84,151.96
0.0,1.5,0.0,0.0,2.0,100.0,1.0,148.62,537.61,144.92,5.15,7935.58,153.1
0.0,1.5,0.0,0.0,3.0,100.0,1.0,134.98,576.49,131.1,4.74,7374.29,82.36
0.0,1.5,0.0,1.0,2.0,100.0,1.0,69.5,569.35,65.65,2.74,3584.67,139.38
0.0,1.5,0.0,1.0,3.0,100.0,1.0,55.02,620.7,50.69,2.26,2793.3,83.95
0.0,1.5,0.0,10.0,2.0,100.0,1.0,1333.44,793.05,1328.75,40.29,65027.12,259.17
0.0,1.5,0.0,10.0,3.0,100.0,1.0,2300.68,796.73,2296.18,69.58,102312.75,237.58
0.0,1.5,0.0,2.0,2.0,100.0,1.0,52.92,607.79,48.55,2.19,2650.78,146.05
0.0,1.5,0.0,2.0,3.0,100.0,1.0,87.44,655.25,82.92,3.2,4441.3,83.44
0.0,1.5,0.0,20.0,2.0,100.0,1.0,8816.67,766.08,8813.55,266.81,389227.85,495.6
0.0,1.5,0.0,20.0,3.0,100.0,1.0,10057.21,772.79,10054.03,304.3,440250.63,452.2
0.0,1.5,0.0,3.0,2.0,100.0,1.0,527.24,639.06,509.25,15.78,16931.89,113.82
0.0,1.5,0.0,5.0,2.0,100.0,1.0,206.0,736.73,201.46,6.59,12746.22,153.63
0.0,1.5,0.0,5.0,3.0,100.0,1.0,121.63,768.44,116.97,3.89,7033.93,123.5
0.0,1.5,1.0,0.0,3.0,100.0,1.0,62.1,512.3,58.45,2.54,3222.18,127.0
0.0,1.5,1.0,0.0,5.0,100.0,1.0,91.13,511.96,87.67,3.44,4839.52,74.38
0.0,1.5,1.0,1.0,3.0,100.0,1.0,13.01,512.74,9.49,1.05,438.06,72.02
