node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.0,0.5,1.0,0.0,20.0,100.0,1.0,1300.43,696.35,1282.53,39.3,41258.01,241.48
0.0,0.5,1.0,1.0,1.0,100.0,1.0,697.34,612.46,682.06,21.21,25759.04,78.4
0.0,0.5,1.0,1.0,20.0,100.0,1.0,1194.82,697.22,1177.81,36.15,41765.61,242.24
0.0,0.5,1.0,10.0,3.0,100.0,1.0,1197.11,695.96,1180.62,36.21,42833.42,243.72
0.0,0.5,1.0,2.0,10.0,100.0,1.0,1203.33,693.52,1186.59,36.41,41061.94,238.64
0.0,0.5,1.0,2.0,2.0,100.0,1.0,990.41,677.35,973.37,29.96,34821.34,141.78
0.0,0.5,1.0,2.0,5.0,100.0,1.0,1040.36,689.43,1021.66,31.29,34162.09,223.95
0.0,0.5,1.0,5.0,10.0,100.0,1.0,1196.07,691.85,1178.2,36.07,41262.74,237.93
0.0,0.5,1.0,5.0,3.0,100.0,1.0,1101.02,689.93,1082.43,33.19,35792.6,233.86
0.0,0.5,1.0,5.0,7.0,100.0,1.0,1219.53,691.36,1202.25,36.85,40195.32,231.11
0.0,0.5,2.0,10.0,10.0,100.0,1.0,1063.4,522.63,1050.8,32.53,40612.44,166.24
0.0,0.5,2.0,10.0,7.0,100.0,1.0,1029.18,522.19,1016.09,31.49,38873.22,167.3
0.0,0.5,2.0,2.0,1.0,100.0,1.0,639.12,522.19,625.69,19.6,23691.74,101.04
0.0,0.5,2.0,20.0,20.0,100.0,1.0,1050.79,522.83,1038.61,32.19,40885.9,168.08
0.0,0.5,2.0,20.0,3.0,100.0,1.0,1103.92,523.14,1090.42,33.65,39725.03,164.88
0.0,0.5,2.0,20.0,5.0,100.0,1.0,1025.19,522.72,1012.06,31.3,38201.5,166.56
0.0,0.5,2.0,20.0,7.0,100.0,1.0,1066.74,524.24,1054.16,32.65,39749.4,164.93
0.0,0.5,2.0,3.0,10.0,100.0,1.0,1071.09,522.8,1058.36,32.88,39135.37,165.66
0.0,0.5,2.0,5.0,10.0,100.0,1.0,1139.07,523.01,1126.75,34.95,42107.03,162.37
0.0,0.5,2.0,5.0,7.0,100.0,1.0,1016.99,522.32,1004.44,31.14,38550.41,160.37
0.0,0.5,2.0,50.0,0.0,100.0,1.0,1047.44,523.3,1033.73,31.98,39295.42,163.17
0.0,0.5,2.0,50.0,10.0,100.0,1.0,1096.69,522.6,1084.21,33.55,41513.23,166.22
