node depth weight,time to finish weight,distance from path tolerance,distance from path additive penalty,distance from path multiplicative penalty,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.0,0.5,1.0,0.0,10.0,100.0,1.0,1305.21,608.44,1290.72,39.52,45384.36,266.78
0.0,0.5,1.0,0.0,20.0,100.0,1.0,1556.82,609.59,1542.56,47.13,53862.46,240.83
0.0,0.5,1.0,0.0,3.0,100.0,1.0,1293.08,596.37,1278.87,39.24,45207.61,188.97
0.0,0.5,1.0,0.0,5.0,100.0,1.0,1217.99,614.5,1204.04,36.91,43670.51,211.64
0.0,0.5,1.0,0.0,50.0,100.0,1.0,1543.57,611.02,1529.42,46.73,53481.04,244.31
0.0,0.5,1.0,0.0,7.0,100.0,1.0,1210.14,611.28,1195.82,36.66,41751.61,234.92
0.0,0.5,1.0,1.0,10.0,100.0,1.0,1427.74,609.9,1412.76,43.23,51374.51,289.76
0.0,0.5,1.0,1.0,20.0,100.0,1.0,1520.05,611.41,1505.45,45.98,54137.94,246.01
0.0,0.5,1.0,1.0,3.0,100.0,1.0,1186.38,606.53,1172.24,36.0,42558.48,206.01
0.0,0.5,1.0,1.0,5.0,100.0,1.0,1246.09,613.85,1230.83,37.71,42621.74,220.37
0.0,0.5,1.0,1.0,50.0,100.0,1.0,1563.28,610.23,1548.67,47.31,54656.99,242.29
0.0,0.5,1.0,1.0,7.0,100.0,1.0,1225.28,610.98,1210.72,37.06,41616.13,244.19
0.0,0.5,1.0,10.0,0.0,100.0,1.0,1233.28,611.87,1218.22,37.32,44334.29,281.8
0.0,0.5,1.0,10.0,1.0,100.0,1.0,1476.98,612.8,1462.15,44.69,50934.23,267.76
0.0,0.5,1.0,10.0,10.0,100.0,1.0,1454.92,610.99,1440.71,44.06,53611.64,245.64
0.0,0.5,1.0,10.0,2.0,100.0,1.0,1426.99,611.0,1411.81,43.12,48612.94,266.09
0.0,0.5,1.0,10.0,20.0,100.0,1.0,1562.21,610.98,1547.63,47.29,55427.82,247.55
0.0,0.5,1.0,10.0,3.0,100.0,1.0,1417.57,611.35,1403.38,42.92,51093.91,256.02
0.0,0.5,1.0,10.0,5.0,100.0,1.0,1489.1,611.45,1474.81,45.09,53841.08,256.33
0.0,0.5,1.0,10.0,50.0,100.0,1.0,1442.57,610.89,1428.71,43.69,52335.79,249.32
0.0,0.5,1.0,10.0,7.0,100.0,1.0,1583.35,612.65,1568.8,47.91,54896.61,243.6
0.0,0.5,1.0,2.0,10.0,100.0,1.0,1472.91,612.23,1458.48,44.58,52074.3,255.06
0.0,0.5,1.0,2.0,2.0,100.0,1.0,1220.13,605.75,1204.86,36.98,42046.99,193.73
0.0,0.5,1.0,2.0,20.0,100.0,1.0,1540.79,609.59,1526.67,46.67,54370.31,252.08
0.0,0.5,1.0,2.0,3.0,100.0,1.0,1324.63,609.76,1307.86,39.95,42859.24,204.85
0.0,0.5,1.0,2.0,5.0,100.0,1.0,1301.43,609.68,1285.18,39.36,42679.56,225.34
0.0,0.5,1.0,2.0,50.0,100.0,1.0,1615.57,610.93,1600.66,48.91,55208.55,245.63
0.0,0.5,1.0,2.0,7.0,100.0,1.0,1228.54,611.14,1214.27,37.18,42905.13,259.13
0.0,0.5,1.0,20.0,0.0,100.0,1.0,1558.47,610.65,1543.53,47.16,54887.17,239.82
0.0,0.5,1.0,20.0,1.0,100.0,1.0,1631.85,610.24,1616.29,49.34,55221.25,238.62
0.0,0.5,1.0,20.0,10.0,100.0,1.0,1536.73,610.5,1523.1,46.54,55161.95,246.96
0.0,0.5,1.0,20.0,2.0,100.0,1.0,1561.26,612.8,1546.87,47.28,55180.99,246.65
0.0,0.5,1.0,20.0,20.0,100.0,1.0,1469.39,611.11,1454.67,44.48,52371.65,244.81
0.0,0.5,1.0,20.0,3.0,100.0,1.0,1598.91,612.77,1584.65,48.45,56521.31,251.0
0.0,0.5,1.0,20.0,5.0,100.0,1.0,1536.27,610.64,1522.21,46.55,56472.74,247.57
0.0,0.5,1.0,20.0,50.0,100.0,1.0,1555.8,610.88,1541.59,47.13,55930.83,246.37
0.0,0.5,1.0,20.0,7.0,100.0,1.0,1536.54,610.83,1522.34,46.54,55868.47,248.53
0.0,0.5,1.0,3.0,10.0,100.0,1.0,1443.58,611.9,1428.95,43.68,50575.19,247.89
0.0,0.5,1.0,3.0,2.0,100.0,1.0,1125.28,611.62,1110.54,34.04,39557.62,212.53
0.0,0.5,1.0,3.0,20.0,100.0,1.0,1599.07,613.45,1584.2,48.41,55753.79,246.21
0.0,0.5,1.0,3.0,5.0,100.0,1.0,1227.34,610.08,1212.89,37.12,42862.31,242.86
0.0,0.5,1.0,3.0,50.0,100.0,1.0,1599.87,612.97,1585.45,48.47,57129.46,247.07
0.0,0.5,1.0,3.0,7.0,100.0,1.0,1371.34,609.99,1356.57,41.52,48036.52,277.97
0.0,0.5,1.0,5.0,1.0,100.0,1.0,949.47,611.86,934.91,28.71,33650.75,217.32
0.0,0.5,1.0,5.0,10.0,100.0,1.0,1493.9,610.46,1479.57,45.23,53791.35,256.31
0.0,0.5,1.0,5.0,2.0,100.0,1.0,1263.88,613.92,1247.27,38.15,40292.45,235.76
0.0,0.5,1.0,5.0,20.0,100.0,1.0,1689.03,610.78,1674.19,51.17,57945.38,254.99
0.0,0.5,1.0,5.0,3.0,100.0,1.0,1305.38,611.92,1290.28,39.48,43814.14,246.63
0.0,0.5,1.0,5.0,5.0,100.0,1.0,1461.67,606.8,1445.9,44.21,48787.76,273.07
0.0,0.5,1.0,5.0,50.0,100.0,1.0,1646.65,612.44,1632.05,49.86,57736.84,239.39
0.0,0.5,1.0,5.0,7.0,100.0,1.0,1459.1,609.38,1444.03,44.1,49041.65,254.96
0.0,0.5,1.0,50.0,0.0,100.0,1.0,1510.53,608.95,1496.77,45.76,54243.76,241.88
0.0,0.5,1.0,50.0,1.0,100.0,1.0,1603.69,612.43,1589.37,48.56,56508.87,247.66
0.0,0.5,1.0,50.0,10.0,100.0,1.0,1533.94,611.05,1519.84,46.47,54478.36,251.32
0.0,0.5,1.0,50.0,2.0,100.0,1.0,1563.55,610.23,1549.47,47.32,54197.57,248.18
0.0,0.5,1.0,50.0,20.0,100.0,1.0,1574.06,611.62,1560.46,47.69,56304.39,248.13
0.0,0.5,1.0,50.0,3.0,100.0,1.0,1537.62,610.17,1523.82,46.56,54753.58,246.55
0.0,0.5,1.0,50.0,5.0,100.0,1.0,1591.71,611.1,1577.82,48.19,55462.85,245.67
0.0,0.5,1.0,50.0,50.0,100.0,1.0,1591.27,611.81,1577.33,48.23,55360.69,246.4
0.0,0.5,1.0,50.0,7.0,100.0,1.0,1531.69,610.77,1518.17,46.33,54357.95,238.9
0.0,1.0,0.0,1.0,3.0,100.0,1.0,3012.44,799.1,2977.76,89.97,54370.69,104.91
0.0,1.0,0.0,1.0,7.0,100.0,1.0,12664.1,826.48,12641.96,382.86,224477.52,267.1
0.0,1.0,0.0,2.0,10.0,100.0,1.0,16357.9,834.64,16341.09,495.09,296652.36,352.95
0.0,1.0,1.0,0.0,10.0,100.0,1.0,1348.15,609.73,1332.45,40.7,42533.89,203.75
0.0,1.0,1.0,0.0,20.0,100.0,1.0,1762.34,610.5,1748.07,53.37,55928.55,252.65
0.0,1.0,1.0,0.0,5.0,100.0,1.0,1523.41,595.03,1508.07,46.13,47252.95,181.2
0.0,1.0,1.0,0.0,50.0,100.0,1.0,1843.31,608.61,1829.16,55.83,57955.23,244.75
0.0,1.0,1.0,1.0,10.0,100.0,1.0,1648.79,609.42,1631.03,49.74,46864.62,220.0
0.0,1.0,1.0,1.0,20.0,100.0,1.0,1910.33,605.72,1891.23,57.71,54061.04,252.44
0.0,1.0,1.0,1.0,5.0,100.0,1.0,1580.66,598.19,1562.58,47.72,45856.13,187.22
0.0,1.0,1.0,1.0,50.0,100.0,1.0,2003.56,606.39,1984.39,60.47,54829.68,233.77
0.0,1.0,1.0,1.0,7.0,100.0,1.0,1754.79,604.82,1736.56,52.98,49855.57,175.27
0.0,1.0,1.0,10.0,10.0,100.0,1.0,2168.13,604.95,2148.67,65.48,56936.64,253.18
0.0,1.0,1.0,10.0,2.0,100.0,1.0,1835.62,608.87,1814.09,55.23,47152.38,205.63
0.0,1.0,1.0,10.0,20.0,100.0,1.0,2224.89,609.7,2206.53,67.17,59620.79,224.03
0.0,1.0,1.0,10.0,3.0,100.0,1.0,1989.05,606.7,1969.68,60.01,54206.08,232.07
0.0,1.0,1.0,10.0,5.0,100.0,1.0,1904.64,606.04,1885.6,57.44,51842.68,239.73
0.0,1.0,1.0,10.0,50.0,100.0,1.0,2167.97,607.29,2148.85,65.39,58565.24,228.6
0.0,1.0,1.0,2.0,10.0,100.0,1.0,1834.15,608.15,1815.46,55.34,50440.25,212.37
0.0,1.0,1.0,2.0,20.0,100.0,1.0,2029.66,605.97,2010.51,61.29,55170.09,242.67
0.0,1.0,1.0,2.0,5.0,100.0,1.0,1724.93,605.22,1705.54,52.04,47018.71,183.41
0.0,1.0,1.0,2.0,50.0,100.0,1.0,2274.58,607.14,2256.01,68.75,60869.83,234.12
