NDW:0.0
TTFW:1.5
DFPT:0.0
DFPAP:2.0
DFPMP:2.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,true,1.00,42,666,11,1,516,86
Krys-2,true,1.00,43,587,10,1,407,92
Krys-3,true,1.00,43,631,10,1,466,156
Krys-4,true,1.00,60,592,46,2,1223,44
Krys-5,true,1.00,9,454,6,1,262,16
Krys-6,true,1.00,19,591,15,1,689,263
Krys-7,true,1.00,9,445,6,1,269,73
Krys-8,true,1.00,14,576,10,1,422,50
Krys-9,true,1.00,8,433,5,1,198,28
Krys-10,true,1.00,68,562,64,2,3227,1217
Krys-11,true,1.00,11,502,8,1,300,53
Krys-12,true,1.00,9370,668,9367,284,470009,1702
Krys-13,true,1.00,16,606,12,1,511,97
Krys-14,true,1.00,15,515,11,1,432,94
Krys-15,true,1.00,31,566,27,1,1464,1094
Krys-16,true,1.00,18,696,13,1,525,89
Krys-17,true,1.00,10,541,6,1,269,16
Krys-18,true,1.00,15,629,11,1,423,26
Krys-19,true,1.00,36,535,32,1,1710,1434
Krys-20,true,1.00,1951,716,1946,59,96702,1026
Krys-21,true,1.00,8,447,5,1,222,13
Krys-22,true,1.00,10,469,7,1,264,26
Krys-23,true,1.00,21,733,16,1,623,77
Krys-24,true,1.00,22,693,17,1,723,240
Krys-25,true,1.00,84,594,80,3,4125,394
Krys-26,true,1.00,10,474,6,1,293,39
Krys-27,true,1.00,24,666,19,1,905,632
Krys-28,true,1.00,23,769,18,1,758,190
Krys-29,true,1.00,17,615,14,1,536,122
Krys-30,true,1.00,32,750,27,1,1355,1005
Krys-31,true,1.00,15,656,10,1,411,34
Krys-32,true,1.00,12,571,9,1,332,34
Krys-33,true,1.00,14,561,10,1,406,34
Krys-34,true,1.00,13,610,8,1,347,30
Krys-35,true,1.00,27,658,23,1,1156,837
Krys-36,true,1.00,27,759,22,1,993,523
Krys-37,true,1.00,12,586,8,1,369,40
Krys-38,true,1.00,15,628,11,1,496,75
Krys-39,true,1.00,21,693,16,1,736,246
Krys-40,true,1.00,9776,575,9774,296,527380,1235
Krys-41,true,1.00,433,730,428,13,20492,1292
Krys-42,true,1.00,12,450,9,1,481,155
Krys-43,true,1.00,19,613,15,1,629,131
Krys-44,true,1.00,14,560,11,1,534,101
Krys-45,true,1.00,16,595,12,1,476,85
Krys-46,true,1.00,13,555,10,1,398,47
Krys-47,true,1.00,13,593,9,1,383,34
Krys-48,true,1.00,9,513,6,1,257,19
Krys-49,true,1.00,20,655,15,1,641,131
Krys-50,true,1.00,4636,586,4633,141,241926,287
Krys-51,true,1.00,24,550,21,1,986,288
Krys-52,true,1.00,24,724,19,1,867,123
Krys-53,true,1.00,16,627,12,1,459,35
Krys-54,true,1.00,54,737,49,2,2509,453
Krys-55,true,1.00,12,559,8,1,358,27
Krys-56,true,1.00,46,623,41,2,1916,37
Krys-57,true,1.00,15,495,11,1,483,131
Krys-58,true,1.00,13,634,8,1,381,38
Krys-59,true,1.00,13,522,9,1,397,94
Krys-60,true,1.00,15,547,11,1,475,244
Krys-61,true,1.00,15,615,10,1,428,36
Krys-62,true,1.00,15,601,10,1,430,86
Krys-63,true,1.00,23,763,17,1,889,375
Krys-64,true,1.00,15,691,10,1,426,38
Krys-65,true,1.00,14,541,10,1,475,131
Krys-66,true,1.00,21,637,17,1,768,110
Krys-67,true,1.00,5978,637,5974,181,324894,1604
Krys-68,true,1.00,11,528,7,1,317,36
Krys-69,true,1.00,21,799,15,1,630,48
Krys-70,true,1.00,38,937,33,1,1436,599
Krys-71,true,1.00,14,614,10,1,484,96
Krys-72,true,1.00,17,661,12,1,504,93
Krys-73,true,1.00,3372,738,3367,102,154807,1271
Krys-74,true,1.00,14,542,10,1,401,42
Krys-75,true,1.00,14,541,9,1,352,23
Krys-76,true,1.00,23,628,18,1,907,665
Krys-77,true,1.00,9,499,5,1,245,26
Krys-78,true,1.00,24,565,20,1,969,585
Krys-79,true,1.00,14,604,9,1,387,86
Krys-80,true,1.00,13,564,9,1,376,39
Krys-81,true,1.00,13,610,9,1,347,57
Krys-82,true,1.00,14,479,11,1,408,143
Krys-83,true,1.00,28,691,23,1,1072,620
Krys-84,true,1.00,11,482,8,1,322,59
Krys-85,true,1.00,18,817,13,1,547,66
Krys-86,true,1.00,15,580,11,1,447,48
Krys-87,true,1.00,13,511,9,1,349,80
Krys-88,true,1.00,16,646,11,1,493,49
Krys-89,true,1.00,18,658,13,1,509,74
Krys-90,true,1.00,15,534,11,1,531,193
Krys-91,true,1.00,16,649,11,1,428,32
Krys-92,true,1.00,4916,679,4912,149,234344,1394
Krys-93,true,1.00,23,441,20,1,948,378
Krys-94,true,1.00,7,414,4,1,203,12
Krys-95,true,1.00,19,633,16,1,524,68
Krys-96,true,1.00,13,496,10,1,381,30
Krys-97,true,1.00,13,542,9,1,385,69
Krys-98,true,1.00,31,728,25,1,1169,578
Krys-99,true,1.00,19,618,14,1,572,94
Krys-100,true,1.00,11,480,7,1,370,90
