level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
Krys-1,true,1.00,4981,655,4979,151,258170,580
Krys-2,true,1.00,8536,514,8534,257,402799,1393
Krys-3,true,1.00,8973,583,8971,284,505687,1201
Krys-4,true,1.00,11395,551,11393,351,570550,1401
Krys-5,true,1.00,237,435,233,7,8884,407
Krys-6,true,1.00,6988,419,6987,211,345537,1615
Krys-7,true,1.00,328,484,326,10,13769,292
Krys-8,true,1.00,8276,609,8250,251,369252,1230
Krys-9,true,1.00,31,493,28,1,1366,296
Krys-10,true,1.00,7035,543,7031,213,372692,1807
Krys-11,true,1.00,5796,560,5787,175,257111,683
Krys-12,true,1.00,6236,516,6234,189,297563,1428
Krys-13,true,1.00,3830,506,3826,116,175087,1826
Krys-14,true,1.00,7257,556,7255,219,311478,526
Krys-15,true,1.00,2516,597,2513,76,133817,536
Krys-16,true,1.00,3480,611,3477,108,156305,519
Krys-17,true,1.00,481,565,462,14,21729,343
Krys-18,true,1.00,4003,574,3997,121,178892,624
Krys-19,true,1.00,4501,463,4499,136,222327,1272
Krys-20,true,1.00,9349,609,9346,283,480635,850
Krys-21,true,1.00,29,493,26,1,1273,217
Krys-22,true,1.00,496,445,494,15,22801,368
Krys-23,true,1.00,3213,488,3211,97,149865,547
Krys-24,true,1.00,3897,465,3895,118,186757,1647
Krys-25,true,1.00,4071,492,4067,123,226934,2100
Krys-26,true,1.00,57,418,28,1,1316,262
Krys-27,true,1.00,4910,444,4907,148,230137,943
Krys-28,true,1.00,4694,574,4691,142,237900,780
Krys-29,true,1.00,8551,634,8549,259,465796,1188
Krys-30,true,1.00,7091,558,7062,214,346355,1265
Krys-31,true,1.00,3423,571,3419,103,147281,621
Krys-32,true,1.00,6393,528,6387,193,309849,463
Krys-33,true,1.00,6180,505,6178,188,260256,589
Krys-34,true,1.00,1954,490,1951,59,95410,475
Krys-35,true,1.00,3798,496,3797,115,196475,1631
Krys-36,true,1.00,4886,496,4884,148,289037,1674
Krys-37,true,1.00,2845,632,2841,86,160285,1479
Krys-38,true,1.00,33,524,30,1,1605,290
Krys-39,true,1.00,1360,494,1357,41,64177,310
Krys-40,true,1.00,8852,595,8850,269,444898,1020
Krys-41,true,1.00,11204,547,11203,339,609721,861
Krys-42,true,1.00,3933,437,3930,119,197795,778
Krys-43,true,1.00,4694,431,4692,142,209625,442
Krys-44,true,1.00,27,564,23,1,1316,220
Krys-45,true,1.00,10252,576,10250,310,464914,763
Krys-46,true,1.00,2843,596,2839,86,133022,583
Krys-47,true,1.00,2546,587,2541,77,127528,370
Krys-48,true,1.00,4459,495,4457,135,222146,1126
Krys-49,true,1.00,3867,512,3863,117,164518,383
Krys-50,true,1.00,10430,586,10428,319,587124,1835
Krys-51,true,1.00,4860,525,4859,147,243117,542
Krys-52,true,1.00,9102,514,9100,275,475133,1062
Krys-53,true,1.00,9071,596,9069,275,488936,341
Krys-54,true,1.00,7661,565,7658,232,457365,1948
Krys-55,true,1.00,6180,679,6177,187,319937,930
Krys-56,true,1.00,4629,551,4618,140,225408,524
Krys-57,true,1.00,3366,478,3363,102,154346,1984
Krys-58,true,1.00,7120,634,7097,217,373992,946
Krys-59,true,1.00,10057,575,10055,304,445438,778
Krys-60,true,1.00,3503,616,3500,106,168311,712
Krys-61,true,1.00,4789,603,4786,145,251333,1222
Krys-62,true,1.00,3110,582,3106,94,135195,510
Krys-63,true,1.00,13671,732,13669,416,672076,1709
Krys-64,true,1.00,633,538,626,19,31719,425
Krys-65,true,1.00,5946,549,5943,180,249477,432
Krys-66,true,1.00,8719,619,8717,265,442840,1371
Krys-67,true,1.00,2917,611,2914,88,142956,387
Krys-68,true,1.00,266,429,264,8,12363,313
Krys-69,true,1.00,5420,657,5414,164,273508,620
Krys-70,true,1.00,10443,631,10437,316,572418,1708
Krys-71,true,1.00,629,455,626,19,29279,333
Krys-72,true,1.00,3177,485,3172,96,148769,858
Krys-73,true,1.00,7897,531,7892,240,380571,457
Krys-74,true,1.00,4029,462,4027,122,167652,462
Krys-75,true,1.00,5255,527,5253,160,214947,550
Krys-76,true,1.00,6241,479,6233,189,355295,2061
Krys-77,true,1.00,170,462,164,5,8166,305
Krys-78,true,1.00,5943,483,5940,183,303693,1293
Krys-79,true,1.00,4925,433,4923,149,213704,533
Krys-80,true,1.00,1425,520,1422,43,65780,519
Krys-81,true,1.00,3846,552,3843,116,181940,533
Krys-82,true,1.00,4463,488,4460,135,191508,619
Krys-83,true,1.00,7878,497,7872,239,394798,956
Krys-84,true,1.00,5849,515,5847,178,262266,460
Krys-85,true,1.00,235,615,231,7,11967,644
Krys-86,true,1.00,9312,603,9310,282,428232,1009
Krys-87,true,1.00,9683,499,9682,293,420054,991
Krys-88,true,1.00,2386,455,2383,72,115788,527
Krys-89,true,1.00,2800,530,2797,83,119539,294
Krys-90,true,1.00,2777,542,2774,84,140967,706
Krys-91,true,1.00,2448,458,2445,77,104961,391
Krys-92,true,1.00,8630,538,8628,261,441322,1696
Krys-93,true,1.00,2715,532,2712,82,128307,666
Krys-94,true,1.00,2384,490,2382,72,117742,822
Krys-95,true,1.00,1288,485,1285,39,70075,1647
Krys-96,true,1.00,33,439,30,1,1343,210
Krys-97,true,1.00,4197,456,4195,127,187204,448
Krys-98,true,1.00,7484,577,7482,229,340311,368
Krys-99,true,1.00,6472,481,6470,196,287930,727
Krys-100,true,1.00,66,400,64,2,3112,495
