NDW:1.0
TTFW:2.0
DFPT:1.0
DFPAP:5.0
DFPMP:5.0
level,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
ge-1,true,1.00,16,268,14,1,675,492
ge-2,true,1.00,11,235,10,1,388,212
ge-3,true,1.00,6,228,5,1,197,52
ge-4,true,1.00,5,243,4,1,143,31
ge-5,true,1.00,4,199,2,1,71,1
ge-6,true,1.00,24,254,22,1,1100,455
ge-7,true,1.00,3,210,2,1,79,3
ge-8,true,1.00,13,217,11,1,555,418
ge-9,true,1.00,3,204,2,1,83,3
ge-10,true,1.00,4,199,3,1,83,8
ge-11,true,1.00,5,223,3,1,123,12
ge-12,true,1.00,3,216,2,1,80,5
ge-13,true,1.00,22,262,20,1,937,555
ge-14,true,1.00,8,248,6,1,241,104
ge-15,true,1.00,4,226,2,1,92,5
ge-16,true,1.00,24,282,22,1,1048,461
ge-17,true,1.00,6,221,4,1,166,28
ge-18,true,1.00,67,273,65,2,2974,626
ge-19,true,1.00,7,247,5,1,234,74
ge-20,true,1.00,6,229,5,1,199,64
ge-21,true,1.00,3,199,2,1,74,3
ge-22,true,1.00,3,210,2,1,77,3
ge-23,true,1.00,4,220,3,1,107,24
ge-24,true,1.00,8,240,6,1,285,78
ge-25,true,1.00,4,205,2,1,77,1
ge-26,true,1.00,3,199,2,1,74,3
ge-27,true,1.00,12,211,10,1,486,311
ge-28,true,1.00,3,205,2,1,76,3
ge-29,true,1.00,5,214,3,1,116,17
ge-30,true,1.00,15,258,13,1,617,347
ge-31,true,1.00,19,274,17,1,818,638
ge-32,true,1.00,23,223,21,1,1032,487
ge-33,true,1.00,4,233,3,1,116,13
ge-34,true,1.00,3,211,2,1,82,3
ge-35,true,1.00,17,246,16,1,699,264
ge-36,true,1.00,14,297,11,1,516,153
ge-37,true,1.00,3,210,2,1,80,5
ge-38,true,1.00,6,217,4,1,220,116
ge-39,true,1.00,19,229,18,1,883,693
ge-40,true,1.00,3,199,2,1,69,1
ge-41,true,1.00,4,199,3,1,76,3
ge-42,true,1.00,16,257,15,1,684,277
ge-43,true,1.00,18,240,16,1,740,186
ge-44,true,1.00,4,239,3,1,124,17
ge-45,true,1.00,15,228,13,1,613,484
ge-46,true,1.00,13,274,11,1,534,158
ge-47,true,1.00,10,199,8,1,371,256
ge-48,true,1.00,9,254,7,1,348,78
ge-49,true,1.00,3,222,2,1,80,4
ge-50,true,1.00,4,216,2,1,101,17
ge-51,true,1.00,7,253,5,1,280,162
ge-52,true,1.00,16,251,14,1,710,576
ge-53,true,1.00,5,223,4,1,176,96
ge-54,true,1.00,13,295,11,1,477,121
ge-55,true,1.00,17,241,15,1,748,521
ge-56,true,1.00,5,241,4,1,172,59
ge-57,true,1.00,4,216,3,1,119,24
ge-58,true,1.00,31,271,29,1,1341,379
ge-59,true,1.00,4,210,2,1,87,4
ge-60,true,1.00,3,205,2,1,81,4
ge-61,true,1.00,4,199,3,1,73,3
ge-62,true,1.00,4,219,3,1,111,19
ge-63,true,1.00,4,231,3,1,140,40
ge-64,true,1.00,15,241,13,1,575,122
