searchSteps,startWeight,endWeight,exponent,dynamicEnabled,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
3,1.0,1.2,1.5,true,original,1,true,1.00,1098,395,1021,28,6808,223
3,1.0,1.2,1.5,true,original,2,true,1.00,1417,327,1390,38,13981,319
3,1.0,1.2,1.5,true,original,3,true,1.00,32,269,13,1,408,156
3,1.0,1.2,1.5,true,original,4,true,1.00,4916,461,4877,144,207288,1480
3,1.0,1.2,1.5,true,original,5,true,1.00,7113,509,7088,209,287586,889
3,1.0,1.2,1.5,true,original,6,true,1.00,1184,289,1142,31,12599,598
3,1.0,1.2,1.5,true,original,7,true,1.00,5351,455,5315,159,218096,848
3,1.0,1.2,1.5,true,original,8,true,1.00,24,329,22,1,502,106
3,1.0,1.2,1.5,true,original,9,true,1.00,4087,423,4050,114,67298,418
3,1.0,1.2,1.5,true,original,10,true,1.00,44,281,27,1,529,223
3,1.0,1.2,1.5,true,original,11,true,1.00,1648,436,1645,49,44443,390
3,1.0,1.2,1.5,true,original,12,true,1.00,10689,600,10685,323,360925,1033
3,1.0,1.2,1.5,true,original,13,true,1.00,8,299,4,1,127,9
3,1.0,1.2,1.5,true,original,14,true,1.00,50,342,10,1,307,45
3,1.0,1.2,1.5,true,original,15,true,1.00,13640,829,13586,409,399719,836
3,1.0,1.2,1.5,true,krys,1,true,1.00,10896,504,10891,336,339221,1086
3,1.0,1.2,1.5,true,krys,2,true,1.00,4538,406,4528,136,134232,911
3,1.0,1.2,1.5,true,krys,3,true,1.00,11446,516,11442,357,384621,926
3,1.0,1.2,1.5,true,krys,4,true,1.00,10625,475,10624,331,346264,993
3,1.0,1.2,1.5,true,krys,5,true,1.00,17,349,12,1,338,99
3,1.0,1.2,1.5,true,krys,6,true,1.00,9705,419,9702,294,326472,1063
3,1.0,1.2,1.5,true,krys,7,true,1.00,87,370,68,2,1407,440
3,1.0,1.2,1.5,true,krys,8,true,1.00,8484,408,8463,256,267161,955
3,1.0,1.2,1.5,true,krys,9,true,1.00,18,394,15,1,444,136
3,1.0,1.2,1.5,true,krys,10,true,1.00,73,404,62,2,1748,598
3,1.0,1.2,1.5,true,krys,11,true,1.00,7333,423,7329,223,227233,775
3,1.0,1.2,1.5,true,krys,12,true,1.00,9671,462,9668,293,327708,1291
3,1.0,1.2,1.5,true,krys,13,true,1.00,6502,363,6500,197,221396,949
3,1.0,1.2,1.5,true,krys,14,true,1.00,7365,355,7364,223,221649,1014
3,1.0,1.2,1.5,true,krys,15,true,1.00,1978,378,1975,60,72794,764
3,1.0,1.2,1.5,true,krys,16,true,1.00,6506,377,6497,201,207710,677
3,1.0,1.2,1.5,true,krys,17,true,1.00,9889,469,9888,300,340551,887
3,1.0,1.2,1.5,true,krys,18,true,1.00,3764,395,3761,114,131838,934
3,1.0,1.2,1.5,true,krys,19,true,1.00,6294,395,6290,191,216403,1066
3,1.0,1.2,1.5,true,krys,20,true,1.00,4656,436,4653,141,155839,938
3,1.0,1.2,1.5,true,krys,21,true,1.00,27,374,25,1,843,227
3,1.0,1.2,1.5,true,krys,22,true,1.00,20,368,17,1,529,121
3,1.0,1.2,1.5,true,krys,23,true,1.00,6510,435,6500,197,222566,1104
3,1.0,1.2,1.5,true,krys,24,true,1.00,9117,469,9098,277,297625,825
3,1.0,1.2,1.5,true,krys,25,true,1.00,2972,417,2969,90,106200,633
